ID,site number,site location,cluster name,site acronym,date,month,sample type,Tot N (mg/L (0<mdl)),Diss N (mg/L (0<mdl)),Tot P (ug/L (0<mdl)),Diss P (ug/L (0<mdl)),nitrate_nitrogen,ammonium_nitrogen,dissolved_organic_nitrogen,nutrient comments
4.4930000000000000e+03,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/10/06 00:00:00","10/10/06 00:00:00",,,,6.6099999999999994e+01,,,,,
4.4940000000000000e+03,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","10/10/06 00:00:00","10/10/06 00:00:00",,,,4.1100000000000001e+01,,,,,
4.4950000000000000e+03,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.4960000000000000e+03,"R25","verde river at beeline highway","verde","verde @ beeline","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.4970000000000000e+03,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","10/10/06 00:00:00","10/10/06 00:00:00",,,,3.5500000000000000e+01,,,,,
4.4980000000000000e+03,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/10/06 00:00:00","10/10/06 00:00:00",,,,9.0999999999999996e+00,,,,,
4.4990000000000000e+03,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/10/06 00:00:00","10/10/06 00:00:00",,,,4.8299999999999997e+01,,,,,
4.5000000000000000e+03,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","10/10/06 00:00:00","10/10/06 00:00:00",,,,1.1199999999999999e+01,,,,,
4.5010000000000000e+03,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.5020000000000000e+03,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","10/10/06 00:00:00","10/10/06 00:00:00",,,,7.8299999999999997e+01,,,,,
4.5030000000000000e+03,"R17","Deer Valley WTP treated water","srp","deer valley-treated","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.5040000000000000e+03,"Green In","Greenway WTP Inlet","srp","Green In","10/10/06 00:00:00","10/10/06 00:00:00",,,,4.6200000000000003e+01,,,,,
4.5050000000000000e+03,"Green Out","Greenway WTP Outlet","srp","Green Out","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.5060000000000000e+03,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","10/10/06 00:00:00","10/10/06 00:00:00",,,,6.9700000000000003e+01,,,,,
4.5070000000000000e+03,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.5080000000000000e+03,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.5090000000000000e+03,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.5100000000000000e+03,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","10/10/06 00:00:00","10/10/06 00:00:00",,,,6.5999999999999996e+00,,,,,
4.5110000000000000e+03,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","10/10/06 00:00:00","10/10/06 00:00:00",,,,8.3000000000000007e+00,,,,,
4.5120000000000000e+03,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","10/10/06 00:00:00","10/10/06 00:00:00",,,,1.1600000000000000e+01,,,,,
4.5130000000000000e+03,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","10/10/06 00:00:00","10/10/06 00:00:00",,,,1.2600000000000000e+01,,,,,
4.5140000000000000e+03,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","10/10/06 00:00:00","10/10/06 00:00:00",,,,2.5699999999999999e+01,,,,,
3.7580000000000000e+03,"R3","Waddell Canal","cap","waddell canal","06/14/05 00:00:00","06/14/05 00:00:00",,,2.8999999999999998e-01,2.6899999999999999e+01,,,,,
3.7590000000000000e+03,"UH In","Union Hills Inlet","cap","Union Hills Inlet","06/14/05 00:00:00","06/14/05 00:00:00",,,2.1099999999999999e-01,9.5999999999999996e+00,,,,,
3.7600000000000000e+03,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","06/14/05 00:00:00","06/14/05 00:00:00",,,1.8300000000000000e-01,,,,,,
3.7610000000000000e+03,"R11","CAP Canal at Cross-connect","cap","cap @ x con","06/14/05 00:00:00","06/14/05 00:00:00",,,3.1700000000000000e-01,5.0000000000000000e+00,,,,,
3.7620000000000000e+03,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","06/14/05 00:00:00","06/14/05 00:00:00",,,1.8400000000000000e-01,,,,,,
3.7630000000000000e+03,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","06/14/05 00:00:00","06/14/05 00:00:00",,,1.5700000000000000e-01,1.4000000000000000e+01,,,,,
3.7640000000000000e+03,"R19","Val Vista WTP treated water","srp","val vista-treated","06/14/05 00:00:00","06/14/05 00:00:00",,,1.4799999999999999e-01,,,,,,
3.7650000000000000e+03,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","06/14/05 00:00:00","06/14/05 00:00:00",,,1.3300000000000001e-01,2.3600000000000001e+01,,,,,
3.7660000000000000e+03,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","06/14/05 00:00:00","06/14/05 00:00:00",,,1.8900000000000000e-01,8.0000000000000000e+00,,,,,
3.7670000000000000e+03,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","06/14/05 00:00:00","06/14/05 00:00:00",,,1.6500000000000001e-01,,,,,,
3.7680000000000000e+03,"R25","verde river at beeline highway","verde","verde @ beeline","06/14/05 00:00:00","06/14/05 00:00:00",,,1.2700000000000000e-01,4.4299999999999997e+01,,,,,
3.7690000000000000e+03,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","06/14/05 00:00:00","06/14/05 00:00:00",,,2.6300000000000001e-01,1.9399999999999999e+01,,,,,
3.7700000000000000e+03,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","06/14/05 00:00:00","06/14/05 00:00:00",,,1.3100000000000001e-01,1.3900000000000000e+01,,,,,
3.7710000000000000e+03,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","06/14/05 00:00:00","06/14/05 00:00:00",,,1.6800000000000001e-01,1.1500000000000000e+01,,,,,
3.7720000000000000e+03,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","06/14/05 00:00:00","06/14/05 00:00:00",,,1.0700000000000000e-01,3.4600000000000001e+01,,,,,
3.7730000000000000e+03,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","06/14/05 00:00:00","06/14/05 00:00:00",,,1.0500000000000000e-01,,,,,,
3.7740000000000000e+03,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","06/14/05 00:00:00","06/14/05 00:00:00",,,1.1500000000000000e-01,2.3899999999999999e+01,,,,,
