ID,site number,site location,cluster name,site acronym,date,month,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
20,"R17","Deer Valley WTP treated water","srp","deer valley-treated","08/17/99 00:00:00","08/01/99 00:00:00",,,,,,,,,,
21,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","08/18/99 00:00:00","08/01/99 00:00:00",,1030,2.8,1.3,2,0,7,164,171,
22,"R19","Val Vista WTP treated water","srp","val vista-treated","08/18/99 00:00:00","08/01/99 00:00:00",,,,,,,,,,
23,"field_blank","field blank",,,"08/18/99 00:00:00","08/01/99 00:00:00","field blank",,,,,,,,,
24,"lab_blank","laboratory blank",,,"08/18/99 00:00:00","08/01/99 00:00:00","lab blank",,,,,,,,,
25,"R20","Verde River at Tangle","verde","verde abv horseshoe","08/25/99 00:00:00","08/01/99 00:00:00",,,,,,,,,,
26,"R1","CAP canal above Waddell Canal","cap","cap-siphon","09/16/99 00:00:00","09/01/99 00:00:00",,750,1.9,0,2,0,19,22,41,
27,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","09/16/99 00:00:00","09/01/99 00:00:00",,800,2.6,0,2.7,0,4,61,65,
28,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","09/16/99 00:00:00","09/01/99 00:00:00",,785,0,0,0.7,0,7,15,22,
29,"R3","Waddell Canal","cap","waddell canal","09/16/99 00:00:00","09/01/99 00:00:00",,790,0.3,0,0.7,0,8,7,15,
30,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","09/16/99 00:00:00","09/01/99 00:00:00",,780,0,0,0,7,11,7,25,
31,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","09/14/99 00:00:00","09/01/99 00:00:00",,480,7.5,5.3,4,14,64,63,141,
32,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","09/14/99 00:00:00","09/01/99 00:00:00",,480,3.7,1.5,2.7,14,14,317,352,
33,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","09/14/99 00:00:00","09/01/99 00:00:00",,460,2.8,0.1,2.7,0,21,115,136,
34,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","09/14/99 00:00:00","09/01/99 00:00:00",,450,2.4,0.8,2,14,36,222,272,
35,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","09/15/99 00:00:00","09/01/99 00:00:00",,1060,2,1,1.3,0,14,28,42,
36,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","09/15/99 00:00:00","09/01/99 00:00:00",,1080,7.7,0.1,7.3,65,72,137,274,
37,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","09/15/99 00:00:00","09/01/99 00:00:00",,1085,5.1,0.5,4.7,,,,0,
38,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","09/15/99 00:00:00","09/01/99 00:00:00",,1055,7.1,2.6,5.3,0,7,128,135,
39,"R11","CAP Canal at Cross-connect","cap","cap @ x con","09/15/99 00:00:00","09/01/99 00:00:00",,770,0,0,0.7,0,0,28,28,
40,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","09/15/99 00:00:00","09/01/99 00:00:00",,1025,5.1,1.6,4,0,36,352,388,
41,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","09/15/99 00:00:00","09/01/99 00:00:00",,1015,4,0,4,0,7,245,252,
42,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","09/16/99 00:00:00","09/01/99 00:00:00",,1020,3.1,1.7,2,0,14,178,192,
43,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","09/16/99 00:00:00","09/01/99 00:00:00",,,,,,,,,,
44,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","09/16/99 00:00:00","09/01/99 00:00:00",,1010,2.8,2.4,1.3,7,29,158,194,
45,"R17","Deer Valley WTP treated water","srp","deer valley-treated","09/16/99 00:00:00","09/01/99 00:00:00",,,,,,,,,,
46,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","09/15/99 00:00:00","09/01/99 00:00:00",,1020,2.6,0.8,2,0,14,172,186,
47,"R19","Val Vista WTP treated water","srp","val vista-treated","09/15/99 00:00:00","09/01/99 00:00:00",,,,,,,,,,
48,"field_blank","field blank",,,"09/15/99 00:00:00","09/01/99 00:00:00","field blank",,,,,,,,,
49,"lab_blank","laboratory blank",,,"09/15/99 00:00:00","09/01/99 00:00:00","lab blank",,,,,,,,,
50,"R20","Verde River at Tangle","verde","verde abv horseshoe","09/29/99 00:00:00","09/01/99 00:00:00",,,,,,,,,,
51,"R1","CAP canal above Waddell Canal","cap","cap-siphon","10/12/99 00:00:00","10/01/99 00:00:00",,760,1.2,0,2,0,7,68,75,
52,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","10/12/99 00:00:00","10/01/99 00:00:00",,850,2.3,0.3,2,14,28,94,136,
53,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","10/12/99 00:00:00","10/01/99 00:00:00",,810,2.2,0.3,2,7,58,136,201,
54,"R3","Waddell Canal","cap","waddell canal","10/12/99 00:00:00","10/01/99 00:00:00",,770,1.7,0.5,1.3,0,72,78,150,
55,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","10/12/99 00:00:00","10/01/99 00:00:00",,760,1.1,0,1.3,14,7,100,121,
56,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","10/14/99 00:00:00","10/01/99 00:00:00",,425,6,0,6,0,14,86,100,
57,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","10/14/99 00:00:00","10/01/99 00:00:00",,495,5.7,2.5,4,14,21,93,128,
58,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","10/14/99 00:00:00","10/01/99 00:00:00",,490,5.9,1.9,4.7,14,21,107,142,
59,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","10/14/99 00:00:00","10/01/99 00:00:00",,480,5.1,3.9,2.7,43,43,180,266,
60,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","10/14/99 00:00:00","10/01/99 00:00:00",,1120,7.4,1.9,6,36,29,7,72,
61,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","10/14/99 00:00:00","10/01/99 00:00:00",,1150,4.8,1.1,4,35,43,57,135,
62,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","10/14/99 00:00:00","10/01/99 00:00:00",,1180,4.2,1.3,3.3,0,51,86,137,
63,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","10/14/99 00:00:00","10/01/99 00:00:00",,1180,4,0.9,3.3,7,7,108,122,
64,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/13/99 00:00:00","10/01/99 00:00:00",,780,2.8,0,3.3,0,29,158,187,
65,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/13/99 00:00:00","10/01/99 00:00:00",,1010,4.8,2.3,3.3,0,50,481,531,
66,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/13/99 00:00:00","10/01/99 00:00:00",,1000,4.8,2.3,3.3,0,14,345,359,
67,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","10/13/99 00:00:00","10/01/99 00:00:00",,995,5.9,4.1,3.3,0,14,142,156,
68,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","10/13/99 00:00:00","10/01/99 00:00:00",,,,,,,,,,
69,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","10/13/99 00:00:00","10/01/99 00:00:00",,995,2.2,0.3,2,0,7,120,127,
70,"R17","Deer Valley WTP treated water","srp","deer valley-treated","10/13/99 00:00:00","10/01/99 00:00:00",,,,,,,,,,
71,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","10/13/99 00:00:00","10/01/99 00:00:00",,995,2.8,0.1,2.7,0,28,338,366,
72,"R19","Val Vista WTP treated water","srp","val vista-treated","10/13/99 00:00:00","10/01/99 00:00:00",,,,,,,,,,
73,"field_blank","field blank",,,"10/13/99 00:00:00","10/01/99 00:00:00","field blank",,,,,,,,,
74,"lab_blank","laboratory blank",,,"10/13/99 00:00:00","10/01/99 00:00:00","lab blank",,,,,,,,,
75,"R20","Verde River at Tangle","verde","verde abv horseshoe","10/30/99 00:00:00","10/01/99 00:00:00",,,,,,,,,,
76,"R1","CAP canal above Waddell Canal","cap","cap-siphon","11/16/99 00:00:00","11/01/99 00:00:00",,705,2.6,0,3.3,0,36,79,115,
77,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","11/16/99 00:00:00","11/01/99 00:00:00",,745,4.3,0,4.7,4,26,57,87,
78,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","11/16/99 00:00:00","11/01/99 00:00:00",,775,2.1,0,2.7,14,129,309,452,
79,"R3","Waddell Canal","cap","waddell canal","11/16/99 00:00:00","11/01/99 00:00:00",,690,1.4,0.1,1.3,0,0,1022,1022,
80,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","11/17/99 00:00:00","11/01/99 00:00:00",,705,0.8,0.3,0.7,29,14,569,612,
81,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","11/16/99 00:00:00","11/01/99 00:00:00",,439,8.6,4.9,5.3,36,72,368,476,
82,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","11/16/99 00:00:00","11/01/99 00:00:00",,432,2,1,1.3,0,58,186,244,
83,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","11/16/99 00:00:00","11/01/99 00:00:00",,439,1.7,1.7,0.7,14,51,360,425,
84,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","11/16/99 00:00:00","11/01/99 00:00:00",,435,1.8,0.5,1.3,28,50,503,581,
85,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","11/15/99 00:00:00","11/01/99 00:00:00",,1185,1.7,0.5,1.3,0,76,36,112,
86,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","11/15/99 00:00:00","11/01/99 00:00:00",,1120,10,0.5,9.300000000000001,7,36,1000,1043,
87,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","11/15/99 00:00:00","11/01/99 00:00:00",,1125,4.5,2.9,2.7,14,22,438,474,
88,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","11/15/99 00:00:00","11/01/99 00:00:00",,1190,1.5,1.2,0.7,4,4,41,49,
89,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/15/99 00:00:00","11/01/99 00:00:00",,730,1.2,0,1.3,0,21,504,525,
90,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/15/99 00:00:00","11/01/99 00:00:00",,495,4.6,2.9,2.7,7,7,489,503,
91,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/15/99 00:00:00","11/01/99 00:00:00",,495,4.9,3.4,2.7,7,0,483,490,
92,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","11/17/99 00:00:00","11/01/99 00:00:00",,500,4.8,4.5,2,0,0,395,395,
93,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","11/17/99 00:00:00","11/01/99 00:00:00",,,,,,,,,,
94,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","11/17/99 00:00:00","11/01/99 00:00:00",,495,1.1,0,1.3,0,65,474,539,
95,"R17","Deer Valley WTP treated water","srp","deer valley-treated","11/17/99 00:00:00","11/01/99 00:00:00",,,,,,,,,,
96,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","11/17/99 00:00:00","11/01/99 00:00:00",,,,,,,,,,"south canal shut-down"
97,"R19","Val Vista WTP treated water","srp","val vista-treated","11/17/99 00:00:00","11/01/99 00:00:00",,,,,,,,,,
98,"field_blank","field blank",,,"11/17/99 00:00:00","11/01/99 00:00:00","field blank",,,,,,,,,
99,"lab_blank","laboratory blank",,,"11/17/99 00:00:00","11/01/99 00:00:00","lab blank",,,,,,,,,
100,"R20","Verde River at Tangle","verde","verde abv horseshoe","11/30/99 00:00:00","11/01/99 00:00:00",,,,,,,,,,
101,"R1","CAP canal above Waddell Canal","cap","cap-siphon","12/15/99 00:00:00","12/01/99 00:00:00",,715,0.3,0,0.7,0,4,346,350,
102,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","12/15/99 00:00:00","12/01/99 00:00:00",,755,0,0,1.3,0,4,148,152,
103,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","12/15/99 00:00:00","12/01/99 00:00:00",,745,0.4,0,0.7,21,0,137,158,
104,"R3","Waddell Canal","cap","waddell canal","12/15/99 00:00:00","12/01/99 00:00:00",,703,0,0,0,4,0,328,332,
105,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","12/16/99 00:00:00","12/01/99 00:00:00",,655,2,1,1.3,0,0,51,51,
106,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","12/15/99 00:00:00","12/01/99 00:00:00",,504,15.2,4.8,12,0,14,511,525,
107,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","12/15/99 00:00:00","12/01/99 00:00:00",,417,2.1,1.5,1.3,4,0,91,95,
108,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","12/15/99 00:00:00","12/01/99 00:00:00",,420,4.9,6.1,1.3,0,0,266,266,
109,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","12/15/99 00:00:00","12/01/99 00:00:00",,427,0.2,0.5,0,0,0,171,171,
110,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","12/14/99 00:00:00","12/01/99 00:00:00",,1230,1.1,0,2,0,11,62,73,
111,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","12/14/99 00:00:00","12/01/99 00:00:00",,1225,7.2,7.6,2.7,7,14,301,322,
112,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","12/14/99 00:00:00","12/01/99 00:00:00",,,,,,,,,,
113,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","12/14/99 00:00:00","12/01/99 00:00:00",,1233,1.1,0,2,0,4,90,94,
114,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/14/99 00:00:00","12/01/99 00:00:00",,795,1.4,0,2,0,4,153,157,
115,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/14/99 00:00:00","12/01/99 00:00:00",,503,4,2,2.7,7,14,337,358,
116,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/14/99 00:00:00","12/01/99 00:00:00",,520,5.5,7.1,1.3,0,7,295,302,
117,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/16/99 00:00:00","12/01/99 00:00:00",,415,6,3,4,7,58,648,712,
118,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","12/16/99 00:00:00","12/01/99 00:00:00",,,,,,,,,,
119,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/16/99 00:00:00","12/01/99 00:00:00",,420,2.8,1.3,2,0,7,517,524,
120,"R17","Deer Valley WTP treated water","srp","deer valley-treated","12/16/99 00:00:00","12/01/99 00:00:00",,,,,,,,,,
121,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/16/99 00:00:00","12/01/99 00:00:00",,,,,,,,,,"south canal shut-down"
122,"R19","Val Vista WTP treated water","srp","val vista-treated","12/16/99 00:00:00","12/01/99 00:00:00",,,,,,,,,,
123,"field_blank","field blank",,,"12/16/99 00:00:00","12/01/99 00:00:00","field blank",,,,,,,,,
124,"lab_blank","laboratory blank",,,"12/16/99 00:00:00","12/01/99 00:00:00","lab blank",,,,,,,,,
125,"R20","Verde River at Tangle","verde","verde abv horseshoe","12/30/99 00:00:00","12/01/99 00:00:00",,,,,,,,,,
126,"R1","CAP canal above Waddell Canal","cap","cap-siphon","01/12/00 00:00:00","01/01/00 00:00:00",,762,2.8,0,3.3,0,0,705,712,
127,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/12/00 00:00:00","01/01/00 00:00:00",,790,4.8,0,4.7,7,0,223,230,
128,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/12/00 00:00:00","01/01/00 00:00:00",,775,3.4,1.1,2.7,7,7,143,157,
129,"R3","Waddell Canal","cap","waddell canal","01/12/00 00:00:00","01/01/00 00:00:00",,728,1.9,0,2,0,7,820,827,
130,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","01/12/00 00:00:00","01/01/00 00:00:00",,742,1.7,0,2,7,0,1245,1252,
131,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","01/12/00 00:00:00","01/01/00 00:00:00",,520,7.7,1.3,6.7,7,0,303,310,
132,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","01/12/00 00:00:00","01/01/00 00:00:00",,486,2.8,0.1,2.7,14,7,295,316,
133,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","01/12/00 00:00:00","01/01/00 00:00:00",,499,3.4,3.3,1.3,7,0,417,424,
134,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","01/12/00 00:00:00","01/01/00 00:00:00",,494,4.3,0.2,4,0,7,266,273,
135,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","01/11/00 00:00:00","01/01/00 00:00:00",,1141,1.4,0.1,1.3,14,7,122,143,
136,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","01/11/00 00:00:00","01/01/00 00:00:00",,1104,2.8,1.3,2,4,0,72,76,
137,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","01/11/00 00:00:00","01/01/00 00:00:00",,1102,2.8,0.1,2.7,21,7,108,136,
138,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","01/11/00 00:00:00","01/01/00 00:00:00",,1145,4.8,2.3,3.3,14,7,474,495,
139,"R11","CAP Canal at Cross-connect","cap","cap @ x con","01/11/00 00:00:00","01/01/00 00:00:00",,719,1.6,0,2,0,0,229,229,
140,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","01/11/00 00:00:00","01/01/00 00:00:00",,496,4.2,2.5,2.7,0,0,265,265,"sample taken on south canal"
141,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,"az canal shut-down"
142,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,"az canal shut-down"
143,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,
144,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,"az canal shut-down"
145,"R17","Deer Valley WTP treated water","srp","deer valley-treated","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,
146,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","01/11/00 00:00:00","01/01/00 00:00:00",,593,6.8,3.3,4.7,0,14,258,272,
147,"R19","Val Vista WTP treated water","srp","val vista-treated","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,
148,"field_blank","field blank",,,"01/11/00 00:00:00","01/01/00 00:00:00","field blank",,,,,,,,,
149,"lab_blank","laboratory blank",,,"01/11/00 00:00:00","01/01/00 00:00:00","lab blank",,,,,,,,,
150,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/30/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,
151,"R1","CAP canal above Waddell Canal","cap","cap-siphon","02/15/00 00:00:00","02/01/00 00:00:00",,704,0.9,0,1.3,0,0,87,87,
152,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","02/15/00 00:00:00","02/01/00 00:00:00",,715,0.1,0,1.3,8,0,48,56,
153,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","02/15/00 00:00:00","02/01/00 00:00:00",,732,0.1,0,0.7,0,0,22,22,
154,"R3","Waddell Canal","cap","waddell canal","02/15/00 00:00:00","02/01/00 00:00:00",,700,0.9,0,1.3,0,0,130,130,
155,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","02/15/00 00:00:00","02/01/00 00:00:00",,690,2.6,0,2.7,0,0,331,331,
156,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","02/15/00 00:00:00","02/01/00 00:00:00",,488,5.5,3.2,3.3,0,0,257,286,
157,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","02/15/00 00:00:00","02/01/00 00:00:00",,483,2.3,0.3,2,12,0,34,46,
158,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","02/15/00 00:00:00","02/01/00 00:00:00",,466,3.4,0,3.3,7,7,37,51,
159,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","02/15/00 00:00:00","02/01/00 00:00:00",,473,2,0,2,0,0,102,102,
160,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","02/14/00 00:00:00","02/01/00 00:00:00",,1077,1.8,0,2,0,0,0,7,
161,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","02/14/00 00:00:00","02/01/00 00:00:00",,1081,3.5,0,4,7,0,4,11,
162,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","02/14/00 00:00:00","02/01/00 00:00:00",,1079,2.9,1.3,2,4,4,22,30,
163,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/14/00 00:00:00","02/01/00 00:00:00",,1094,2.1,0,2,0,0,19,19,
164,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/14/00 00:00:00","02/01/00 00:00:00",,698,11.2,3.5,8.699999999999999,0,0,711,711,
165,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","02/14/00 00:00:00","02/01/00 00:00:00",,495,2.7,0,2.7,7,0,230,237,
166,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","02/14/00 00:00:00","02/01/00 00:00:00",,612,5.8,1.4,4.7,7,0,387,394,
167,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","02/16/00 00:00:00","02/01/00 00:00:00",,619,3.8,1.5,2.7,0,0,273,273,
168,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","02/16/00 00:00:00","02/01/00 00:00:00",,,,,,,,,,
169,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","02/16/00 00:00:00","02/01/00 00:00:00",,490,1.5,0,2,0,0,309,309,
170,"R17","Deer Valley WTP treated water","srp","deer valley-treated","02/16/00 00:00:00","02/01/00 00:00:00",,,,,,,,,,
171,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","02/16/00 00:00:00","02/01/00 00:00:00",,627,10.4,2.1,8.699999999999999,0,7,870,877,
172,"R19","Val Vista WTP treated water","srp","val vista-treated","02/16/00 00:00:00","02/01/00 00:00:00",,,,,,,,,,
173,"field_blank","field blank",,,"02/16/00 00:00:00","02/01/00 00:00:00","field blank",,,,,,,,,
174,"lab_blank","laboratory blank",,,"02/16/00 00:00:00","02/01/00 00:00:00","lab blank",,,,,,,,,
175,"R20","Verde River at Tangle","verde","verde abv horseshoe","03/09/00 00:00:00","03/01/00 00:00:00",,402,0.8,0.3,0.7,,,,,
176,"R1","CAP canal above Waddell Canal","cap","cap-siphon","03/16/00 00:00:00","03/01/00 00:00:00",,740,0.8,0,2,0,0,382,382,
177,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","03/16/00 00:00:00","03/01/00 00:00:00",,760,0.5,0,0.7,0,4,47,51,
178,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","03/16/00 00:00:00","03/01/00 00:00:00",,770,0,0,0.7,11,8,62,81,
179,"R3","Waddell Canal","cap","waddell canal","03/16/00 00:00:00","03/01/00 00:00:00",,715,0.3,0,0.7,0,21,215,236,
180,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","03/16/00 00:00:00","03/01/00 00:00:00",,703,1.1,0,1.3,0,28,208,236,
181,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","03/16/00 00:00:00","03/01/00 00:00:00","field duplicate",702,0.6,0,1.3,,,,,
