ID,Site Name,Site Location,Cluster,Site Acronym,Date,Units,Ag3280,Ag3382,Al3944,Al3961,As1890,As1937,Ba2335,Ba4554,Be2348,Be3130,Bi1902,Bi2230,Ca3158,Ca3179,Cd2144,Cd2265,Co2286,Co2388,Cr2677,Cr2835,Cu3247,Cu3273,Fe2395,Fe2599,K7664,K7698,Li6707,Mg2790,Mg2852,Mn2576,Mn2593,Mo2020,Mo2816,Na5889,Na5895,Ni2216,Ni2316,Pb2169,Pb2203,Sb2068,Sb2175,Se1960,Se2039,Sr4077,Sr4215,Ti3234,Ti3349,Ti3361,Tl1908,Tl2767,U_2635,U_3670,U_3859,V_3093,V_3102,Zn2025,Zn2138
57,"Can2A","Canyon Lake, lower","SRP","Canyon, eppi, lower","11/26/2019","(mg/L)","-0.0001","0.0051","0.1545","0.0279","0.0037","0.0048","0.0633","0.0593","0.0002","0","0.0097","0.0687","43.77","43.58","0","0.0001","0.0005","-0.0001","0.0007","-0.0005","0.0017","0.0009","0.0653","0.0683","9.411","8.546","0.1485","13.78","13.95","0.0174","0.0174","0.0063","0.0021","163.3","171.8","0.0035","0.0001","-0.0079","0.0048","0.0187","0.0152","0.0039","0.0014","0.4074","0.3924","0.0006","9.156","0.0005","0.0008","0.202","0.003","0.0003","-0.0009","0.0298","0.0029","0.0005","0.002"
58,"Can2B","Canyon Lake, lower","SRP","Canyon, hypo, lower","11/26/2019","(mg/L)","-0.0005","0.0046","0.1676","0.0473","0.0032","0.0052","0.0635","0.0595","0.0001","0","-0.0051","0.0576","44.03","43.6","0","0.0001","0.0006","0.0004","0.0008","-0.0006","0.002","0.0006","0.0741","0.0768","9.52","8.595","0.1526","13.44","13.95","0.0182","0.0183","0.0027","-0.0035","160.3","170.9","0.0032","0","-0.0105","0.005","0.0099","0.0069","-0.0005","0.0031","0.4082","0.3974","0.0004","9.156","0.0003","0.0013","0.1851","0.0035","0.0001","-0.002","0.0298","0.0029","0.0012","0.0025"
59,"APA1A","Apache Lake, upper","SRP","Apache, eppi, upper","11/26/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"APA1B","Apache Lake, upper","SRP","Apache, hypo, upper","11/26/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"APA2A","Apache Lake, lower","SRP","Apache, eppi, lower","11/26/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"APA2B","Apache Lake, lower","SRP","Apache, hypo, lower","11/26/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Roos1A","Roosevelt Lake, upper","SRP","Roosevelt, eppi, upper","11/26/2019","(mg/L)","0.0008","0.0048","0.114","-0.0251","0.0025","0.0032","0.0654","0.0621","0.0001","0","-0.0054","0.0428","44.59","44.31","0","0.0001","0.0003","-0.0001","0.0006","-0.0003","0.0004","0.0006","0.0954","0.0957","6.98","6.421","0.1375","11.6","12.36","0.015","0.015","0.0016","-0.0028","156.2","160.6","0.0032","0.0004","-0.0072","0.0061","0.0049","0.0011","0.0015","0.0035","0.3941","0.3877","0.0001","9.156","0.0001","0.001","0.1423","-0.0026","0.0016","-0.0021","0.0284","0.0051","0.0016","0.003"
64,"Roos1B","Roosevelt Lake, upper","SRP","Roosevelt, hypo, upper","11/26/2019","(mg/L)","0.0011","0.0055","0.2338","0.1079","0.0024","0.0044","0.0673","0.0636","0.0002","0","-0.0058","0.0524","46.94","46.42","0","0.0002","0.0005","0.0007","0.0007","0.0001","0.0015","0.0017","0.2451","0.2471","7.526","7.033","0.15","12.61","13.05","0.038","0.038","0.0013","-0.0047","164.8","170.1","0.0036","0.0012","-0.003","0.006","0.0046","0.0038","0.0007","0.0017","0.4142","0.4021","0.0005","9.156","0.0004","0.0014","0.1458","-0.0005","-0.0002","-0.0059","0.0299","0.0053","0.0047","0.006"
65,"Roos2A","Roosevelt Lake, lower","SRP","Roosevelt, eppi, lower","11/26/2019","(mg/L)","0.0005","0.0047","0.0736","-0.0581","0.0023","0.0013","0.0611","0.0579","0.0002","0","-0.0064","0.0483","42.47","41.95","0","0.0001","0.0003","0","0.0007","-0.0003","-0.0004","0.0004","0.0124","0.013","6.255","5.655","0.1228","10.99","11.57","0.0142","0.014","0.0012","-0.0045","138.6","144.9","0.003","0.0002","-0.008","0.0052","0.004","0.0009","0.0029","0.0035","0.3718","0.3641","0","9.156","0","0.0009","0.135","-0.0005","0.0003","-0.0002","0.0267","0.0049","0","0.0014"
66,"Roos2B","Roosevelt Lake, lower","SRP","Roosevelt, hypo, lower","11/26/2019","(mg/L)","0.0002","0.0049","0.0746","-0.0499","0.0022","0.0035","0.0629","0.0591","0.0001","0","-0.011","0.0466","42.75","41.86","0","0.0001","0.0001","0.0002","0.0006","-0.0004","0","0.0003","0.0199","0.0204","6.354","5.657","0.1187","11.29","11.64","0.0208","0.0207","0.0009","-0.0038","138.5","145.3","0.0035","0.0008","-0.0053","0.0057","0.0054","0.0013","0.0022","0.0047","0.3706","0.3648","0","9.156","-0.0001","0.0003","0.1448","-0.002","0","-0.0009","0.0266","0.005","0.001","0.0022"
67,"R3","Waddell Canal","cap","waddell canal","11/26/2019","(mg/L)","0.0002","0.0068","0.3428","0.1665","0.0028","-0.0008","0.115","0.1139","0.0001","0","0.002","0.034","74.25","74.06","0.0001","0.0002","0.0005","0.0001","0.0013","0.0001","0.002","0.0032","0.2853","0.2863","5.358","4.983","0.044","22.29","22.84","0.0312","0.0313","0.006","-0.002","75.67","77.85","0.0032","0.0012","-0.0039","0.0035","0.0065","0.003","0.0061","0.0034","0.944","0.9307","0.001","9.156","0.0009","0.0014","0.2472","0.0004","0.0032","-0.0063","0.0514","0.0027","0.0046","0.0073"
68,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","11/26/2019","(mg/L)","0.0002","0.0054","0.1285","-0.0284","0.004","0.003","0.0684","0.0654","0.0001","0","0.0004","0.0436","51.14","50.67","0.0001","0.0002","0.0003","0.0005","0.0008","-0.0003","0.0014","0.0021","0.0965","0.097","9.186","8.707","0.1761","15.67","16.1","0.1246","0.1247","0.0041","-0.0018","196.2","196.2","0.0034","0.0003","-0.0074","0.005","0.0051","0.0023","0.0046","0.0005","0.4861","0.4827","0.0002","9.156","0.0001","0.0012","0.1888","0.0029","0.0017","-0.0031","0.0347","0.0024","0.0024","0.0041"
69,"R25","verde river at beeline highway","verde","verde @ beeline","11/26/2019","(mg/L)","-0.0001","0.006","0.5371","0.4143","0.0051","0.0022","0.0663","0.0637","0.0002","0.0001","-0.0028","0.0416","49.98","49.62","0.0001","0.0002","0.0009","0.0009","0.0017","0.0003","0.0024","0.0033","0.5416","0.5449","6.918","6.469","0.116","18.71","19.02","0.1019","0.102","0.0023","-0.0048","135.3","139.2","0.0045","0.0016","-0.0052","0.0074","0.0052","0.002","0.003","0.005","0.5273","0.519","0.0011","9.156","0.0011","0.0005","0.2137","0.0024","0.0016","-0.0114","0.0437","0.0053","0.0049","0.007"
70,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","11/26/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Roos1A","Roosevelt Lake, upper","SRP","Roosevelt, eppi, upper","2/25/2019","(mg/L)","-0.0005","0.0209","0.2279","-0.0356","0.0038","0.0026","0.0784","0.0719","0","0.0001","-0.0017","0.0269","45.09","44.47","0.0001","0.0003","0.0004","0.0007","0.0017","-0.0001","0.0021","-0.0002","0.1753","0.1805","8.291","8.776","0.1477","14.05","14.92","0.0139","0.0144","0.0013","-0.0011","0","276.1","0.005","0.0027","-0.0137","0.0022","0","-0.0029","0.0064","0.0026","0.4694","0.3799","0.0005","0.0008","0.0003","0.0037","0.0633","0.0001","0.0029","-0.011","0.0234","0.0099","0.0023","0.0043"
14,"Roos1B","Roosevelt Lake, upper","SRP","Roosevelt, hypo, upper","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Roos2A","Roosevelt Lake, lower","SRP","Roosevelt, eppi, lower","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Roos2B","Roosevelt Lake, lower","SRP","Roosevelt, hypo, lower","2/25/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"R3","Waddell Canal","cap","waddell canal","2/25/2019","(mg/L)","-0.0008","0.0233","0.0966","-0.2244","0.0048","0.0001","0.0882","0.0844","0.0001","0","0","0.0272","67.06","65.84","0.0002","0.0002","0.0004","0.0006","0.0009","0","0.0013","-0.0003","-0.0018","-0.0016","5.159","5.508","0.0423","22.45","23.38","-0.0002","0","0.0081","0.0023","81.98","85.7","0.0015","0.0007","-0.0086","0.0013","0.0001","-0.0027","0.0084","0.0001","0.9736","0.8651","0","0.0003","-0.0002","0.0033","0.1305","0.003","0.0031","-0.0034","0.0341","0.0078","-0.0037","0"
18,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2/25/2019","(mg/L)","-0.001","0.0172","0.0753","-0.1402","0.0046","0.0019","0.0352","0.0331","0","0","0.0016","0.0135","34.75","34.14","0.0001","0.0002","0.0002","0","0.0008","-0.0001","0.002","-0.0006","-0.0013","-0.0009","6.564","7.157","0.116","13.61","14.26","0.0001","0.0004","0.0005","-0.0032","247.1","212.8","0.0005","0.0004","-0.006","0.0014","-0.0029","-0.0049","0.0062","0.0022","0.4076","0.3387","0","0.0002","-0.0001","0.0038","0.0892","0.0018","0.0036","-0.0032","0.0206","0.0121","-0.0004","0.0017"
19,"R25","verde river at beeline highway","verde","verde @ beeline","2/25/2019","(mg/L)","0.0004","0.0141","0.0661","-0.1005","0.0088","0.0046","0.0159","0.0166","0.0002","0","-0.0001","0.011","22.56","22.17","0.0001","0.0001","0","-0.0001","0.0005","0","0.0021","-0.0006","0.0007","0.0014","2.678","2.793","0.0157","16.01","16.8","0.0002","0.0004","0.001","-0.0053","19.55","20.91","0.0012","0.0008","-0.0093","-0.0001","-0.0035","-0.0057","0.0048","-0.001","0.3315","0.3085","0","0.0002","-0.0001","0.0013","0.1009","0.0023","0.0007","-0.0021","0.0294","0.0142","-0.0028","0.0001"
20,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2/25/2019","(mg/L)","-0.0006","0.0237","0.0386","-0.0522","0.0065","0.0064","0.1022","0.0946","0.0002","0.0001","0.0152","0.0388","66.45","65.29","0.0004","0.0003","0.0002","-0.0001","0.0013","-0.0006","0.0011","0.002","0.0018","0.0021","5.119","5.109","0.0408","23.85","23.85","0.0027","0.0027","0.0091","0.0068","83.9","83.45","0.0021","0.0004","-0.0047","0.0028","0.0122","0.0125","0.0038","0.0001","0.958","0.9136","0.0004","9.149","0.0003","0.0011","0.0772","0.003","0.0091","-0.002","0.0398","0.0079","-0.002","0.0021"
21,"Hav","Lake Havasu",,"Havasu","2/25/2019","(mg/L)","-0.0008","0.0238","0.0539","-0.0398","0.0049","0.0054","0.0995","0.0913","0.0002","0.0001","0.0069","0.0295","67.91","66.47","0.0003","0.0003","0.0003","-0.0006","0.0014","-0.0008","0.0013","0.0012","0.0128","0.0122","4.548","4.333","0.0363","21.56","21.81","0.0034","0.0035","0.0055","0.0037","78.04","78.1","0.002","0.0003","-0.0066","0.0024","0.0077","0.0088","0.002","0.001","0.918","0.8659","0.0002","9.149","0.0001","0.0021","0.064","-0.0012","0.0091","-0.0017","0.0361","0.0083","-0.0021","0.0017"
