ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,"Secchi Disk, m",samples collected,sample type,comments
6703,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,16.5,19.9,8.4,,,,,
6704,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,16.7,19.9,8.2,,,,,
6705,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,18.2,19.2,7,,,,,
6706,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,20.2,18.1,6.2,,,,,
6707,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,22.1,17.8,5.8,,,,,
6708,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,24.2,17.8,5.4,,,,,
6709,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,27.2,17.2,4.8,,,,,
6710,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,28,17.5,4.3,,,,,
6711,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,30.1,17.2,3.7,,,,,
6712,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,32.2,17.1,2.7,,,,,
6713,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,34,16.6,1.4,,,,,
6714,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,35.9,15.7,1,,,,,
6715,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,37.6,15.4,1,,,,,
6716,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,39.7,15.3,1.1,,,,,
6717,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,41.6,15.4,1.2,,,,,
6718,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,43.3,15,1.7,,,,,
6719,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,45.1,14.4,1.4,,,,,
6720,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,46.9,14.4,1.6,,,,,
6721,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,48.9,14.2,2,,,,,
6722,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,11/15/2005,11/15/2005,0,20,5.6,,0.91,,,
6723,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,11/15/2005,11/15/2005,5,19.9,6.1,,,,,
6724,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,11/15/2005,11/15/2005,10,19.9,6.4,,,,,
6725,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,11/15/2005,11/15/2005,15,19.9,6.2,,,,,
6726,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,11/15/2005,11/15/2005,20,19.9,6.3,,,,,
6727,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,11/15/2005,11/15/2005,25,19.9,6.1,,,,,
6728,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,11/15/2005,11/15/2005,30,19.8,6,,,,,
6729,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,11/15/2005,11/15/2005,35,19.5,4.8,,,,,
6730,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,11/15/2005,11/15/2005,40,19.4,4.9,,,,,
6731,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,11/15/2005,11/15/2005,45,19.3,4.2,,,,,
6732,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,11/15/2005,11/15/2005,50,,,,,,,
6733,R9A,Saguaro Lake near inlet,salt,saguaro-0m,11/15/2005,11/15/2005,0,19.2,5.9,,2.13,,,
6734,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,11/15/2005,11/15/2005,5,19.3,6.2,,,,,
6735,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,11/15/2005,11/15/2005,10,19.3,6.4,,,,,
6736,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,11/15/2005,11/15/2005,15,19.4,6.3,,,,,
6737,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,11/15/2005,11/15/2005,20,19.4,6,,,,,
6738,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,11/15/2005,11/15/2005,25,19.4,5.8,,,,,
6739,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,11/15/2005,11/15/2005,30,19.3,5.5,,,,,
6740,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,11/15/2005,11/15/2005,35,,,,,,,
6741,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,11/15/2005,11/15/2005,40,,,,,,,
6742,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,11/15/2005,11/15/2005,45,,,,,,,
6743,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,11/15/2005,11/15/2005,50,,,,,,,
