ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,"Secchi Disk, m",samples collected,sample type,comments
4971,R9A,Saguaro Lake near inlet,salt,saguaro-0m,5/18/2004,5/18/2004,0,24.3,9.6,,2.74,,,
4972,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,5/18/2004,5/18/2004,4.6,23.3,10.6,,,,,
4973,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,5/18/2004,5/18/2004,9.1,20.2,6.6,,,,,
4974,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,5/18/2004,5/18/2004,13.7,18.3,4.4,,,,,
4975,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,5/18/2004,5/18/2004,18.3,16.9,3.5,,,,,
4976,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,5/18/2004,5/18/2004,22.9,15,3.6,,,,,
4977,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,5/18/2004,5/18/2004,27.4,14.2,3.2,,,,,
4978,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,5/18/2004,5/18/2004,32,,,,,,,
4979,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,5/18/2004,5/18/2004,36.6,,,,,,,
4980,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,5/18/2004,5/18/2004,41.1,,,,,,,
4981,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,5/18/2004,5/18/2004,45.7,,,,,,,
4982,R9-55,Saguaro Lake near inlet,salt,saguaro-55m,5/18/2004,5/18/2004,50.3,,,,,,,
4983,R20,Verde River at Tangle,verde,verde abv horseshoe,5/18/2004,5/18/2004,0,,,,,,,
4984,Havasu 1,Havasu lake Sample,,Havasu 1,5/18/2004,5/18/2004,0,,,,,,,
4985,Havasu 2,Havasu lake Sample,,Havasu 2,5/18/2004,5/18/2004,0,,,,,,,
4986,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,5/18/2004,5/18/2004,0,,,,,,,
4987,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/18/2004,5/18/2004,0,,,,,,,
4988,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/18/2004,5/18/2004,0,,,,,,,
4989,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/18/2004,5/18/2004,0,,,,,,,
4990,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/18/2004,5/18/2004,0,,,,,,,
4991,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/18/2004,5/18/2004,0,,,,,,,
4992,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/18/2004,5/18/2004,0,,,,,,,
4993,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/18/2004,5/18/2004,0,,,,,,,
4994,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/18/2004,5/18/2004,0,,,,,,,
4995,R3,Waddell Canal,cap,waddell canal,6/21/2004,6/21/2004,0,,,,,,,
4996,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/21/2004,6/21/2004,0,22.1,,7.4,,,,
4997,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/21/2004,6/21/2004,0,21.5,,8.1,,,,
4998,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/21/2004,6/21/2004,0,21.2,,8,,,,
4999,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/21/2004,6/21/2004,0,,,,,,,
5000,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/21/2004,6/21/2004,0,25.5,,8.3,,,,
5001,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/21/2004,6/21/2004,0,,,,,,,
5002,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/21/2004,6/21/2004,0,26.1,,8.3,,,,
5003,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/21/2004,6/21/2004,0,,,,,,,
5004,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/21/2004,6/21/2004,0,21.7,,7.2,,,,
5005,R19,Val Vista WTP treated water,srp,val vista-treated,6/21/2004,6/21/2004,0,,,,,,,
5006,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/21/2004,6/21/2004,0,25.2,,8.3,,,,
5007,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/21/2004,6/21/2004,0,24.3,,8.3,,,,
5008,R25,verde river at beeline highway,verde,verde @ beeline,6/21/2004,6/21/2004,0,,,,,,,
5009,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/21/2004,6/21/2004,0,22,,8,,,,
5010,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/21/2004,6/21/2004,0,23.8,,8.3,,,,
5011,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/21/2004,6/21/2004,0,,,,,,,
5012,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/21/2004,6/21/2004,0,,,,,,,
5013,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/21/2004,6/21/2004,0,,,,,,,
5014,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/21/2004,6/21/2004,0,,,,,,,
5015,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,6/21/2004,6/21/2004,0,21.1,,8,,,,
5016,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/21/2004,6/21/2004,0,23.3,,8.3,,,,
5017,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/21/2004,6/21/2004,0,,,,,,,
5018,SPT Out,Tempe's South Plant treated water,tempe,STP Out,6/21/2004,6/21/2004,0,,,,,,,
5019,Green In,Greenway WTP Inlet,srp,Green In,6/21/2004,6/21/2004,0,27.5,,8.3,,,,
5020,Green Out,Greenway WTP Outlet,srp,Green Out,6/21/2004,6/21/2004,0,,,,,,,
5021,R2A,Lake Pleasant integrated sample,cap,pleasant-0m,6/21/2004,6/21/2004,0,,,,,,,
5022,R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,6/21/2004,6/21/2004,4.6,,,,,,,
5023,R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,6/21/2004,6/21/2004,9.1,,,,,,,
5024,R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,6/21/2004,6/21/2004,13.7,,,,,,,
5025,R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,6/21/2004,6/21/2004,18.3,,,,,,,
5026,R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,6/21/2004,6/21/2004,22.9,,,,,,,
5027,R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,6/21/2004,6/21/2004,27.4,,,,,,,
5028,R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,6/21/2004,6/21/2004,32,,,,,,,
5029,R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,6/21/2004,6/21/2004,36.6,,,,,,,
5030,R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,6/21/2004,6/21/2004,41.1,,,,,,,
5031,R2-50,Lake Pleasant integrated sample,cap,pleasant-50m,6/21/2004,6/21/2004,45.7,,,,,,,
5032,R2-55,Lake Pleasant integrated sample,cap,pleasant-55m,6/21/2004,6/21/2004,50.3,,,,,,,
5033,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,6/21/2004,6/21/2004,0,25.9,9.7,,3.66,,,
5034,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,6/21/2004,6/21/2004,4.6,25.5,10.9,,,,,
5035,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,6/21/2004,6/21/2004,9.1,22.4,4.9,,,,,
5036,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,6/21/2004,6/21/2004,13.7,18.7,3,,,,,
5037,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,6/21/2004,6/21/2004,18.3,16.9,3.2,,,,,
5038,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,6/21/2004,6/21/2004,22.9,14.7,4.3,,,,,
5039,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,6/21/2004,6/21/2004,27.4,13.2,5.1,,,,,
5040,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,6/21/2004,6/21/2004,32,12.2,4.5,,,,,
5041,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,6/21/2004,6/21/2004,36.6,11.8,3.7,,,,,
5042,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,6/21/2004,6/21/2004,41.1,,,,,,,
5043,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,6/21/2004,6/21/2004,45.7,,,,,,,
5044,R6-55,Bartlett Reservoir near outlet,verde,bartlett-55m,6/21/2004,6/21/2004,50.3,,,,,,,
5045,R9A,Saguaro Lake near inlet,salt,saguaro-0m,6/21/2004,6/21/2004,0,25.6,9.7,,2.44,,,
5046,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,6/21/2004,6/21/2004,4.6,25.5,11.5,,,,,
5047,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,6/21/2004,6/21/2004,9.1,22.2,2.4,,,,,
5048,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,6/21/2004,6/21/2004,13.7,21.6,1.7,,,,,
5049,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,6/21/2004,6/21/2004,18.3,21.2,1.9,,,,,
5050,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,6/21/2004,6/21/2004,22.9,20.8,1.6,,,,,
5051,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,6/21/2004,6/21/2004,27.4,20.3,0.9,,,,,
5052,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,6/21/2004,6/21/2004,32,,,,,,,
5053,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,6/21/2004,6/21/2004,36.6,,,,,,,
5054,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,6/21/2004,6/21/2004,41.1,,,,,,,
5055,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,6/21/2004,6/21/2004,45.7,,,,,,,
5056,R9-55,Saguaro Lake near inlet,salt,saguaro-55m,6/21/2004,6/21/2004,50.3,,,,,,,
5057,R20,Verde River at Tangle,verde,verde abv horseshoe,6/21/2004,6/21/2004,0,,,,,,,
5058,Havasu 1,Havasu lake Sample,,Havasu 1,6/21/2004,6/21/2004,0,,,,,,,
5059,Havasu 2,Havasu lake Sample,,Havasu 2,6/21/2004,6/21/2004,0,,,,,,,
5060,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,6/21/2004,6/21/2004,0,,,,,,,
5061,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/21/2004,6/21/2004,0,,,,,,,
5062,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/21/2004,6/21/2004,0,,,,,,,
5063,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/21/2004,6/21/2004,0,,,,,,,
5064,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/21/2004,6/21/2004,0,,,,,,,
5065,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/21/2004,6/21/2004,0,,,,,,,
5066,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/21/2004,6/21/2004,0,,,,,,,
5067,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,6/21/2004,6/21/2004,0,,,,,,,
5068,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,6/21/2004,6/21/2004,0,,,,,,,
5069,R3,Waddell Canal,cap,waddell canal,7/6/2004,7/6/2004,0,13.6,,8.2,,,,
5070,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/6/2004,7/6/2004,0,22.3,,7.9,,,,
5071,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/6/2004,7/6/2004,0,22.5,,8.2,,,,
5072,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/6/2004,7/6/2004,0,22,,8.1,,,,
5073,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/6/2004,7/6/2004,0,,,,,,,
5074,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/6/2004,7/6/2004,0,25.4,,8.5,,,,
5075,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/6/2004,7/6/2004,0,,,,,,,
5076,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/6/2004,7/6/2004,0,25.8,,8.5,,,,
5077,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/6/2004,7/6/2004,0,,,,,,,
5078,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/6/2004,7/6/2004,0,23,,7.8,,,,
5079,R19,Val Vista WTP treated water,srp,val vista-treated,7/6/2004,7/6/2004,0,,,,,,,
5080,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/6/2004,7/6/2004,0,,,,,,,
5081,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/6/2004,7/6/2004,0,24.8,,8.5,,,,
5082,R25,verde river at beeline highway,verde,verde @ beeline,7/6/2004,7/6/2004,0,,,,,,,
5083,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/6/2004,7/6/2004,0,,,,,,,
5084,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/6/2004,7/6/2004,0,24.7,,8.5,,,,
5085,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/6/2004,7/6/2004,0,,,,,,,
5086,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/6/2004,7/6/2004,0,,,,,,,
5087,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/6/2004,7/6/2004,0,23.3,,7.9,,,,
5088,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/6/2004,7/6/2004,0,,,,,,,
5089,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/6/2004,7/6/2004,0,22.2,,8.2,,,,
5090,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/6/2004,7/6/2004,0,22.9,,7.7,,,,
5091,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/6/2004,7/6/2004,0,,,,,,,
5092,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/6/2004,7/6/2004,0,,,,,,,
5093,Green In,Greenway WTP Inlet,srp,Green In,7/6/2004,7/6/2004,0,28.9,,8.5,,,,
5094,Green Out,Greenway WTP Outlet,srp,Green Out,7/6/2004,7/6/2004,0,,,,,,,
5095,R3,Waddell Canal,cap,waddell canal,7/20/2004,7/20/2004,0,,,,,,,
5096,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/20/2004,7/20/2004,0,23.1,,7.6,,,,
5097,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/20/2004,7/20/2004,0,19.6,,7.8,,,,
5098,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/20/2004,7/20/2004,0,24.2,,7.9,,,,
5099,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/20/2004,7/20/2004,0,,,,,,,
5100,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/20/2004,7/20/2004,0,25.8,,8.3,,,,
5101,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/20/2004,7/20/2004,0,,,,,,,
5102,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/20/2004,7/20/2004,0,26.4,,8.2,,,,
5103,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/20/2004,7/20/2004,0,,,,,,,
5104,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/20/2004,7/20/2004,0,22.7,,7.4,,,,
5105,R19,Val Vista WTP treated water,srp,val vista-treated,7/20/2004,7/20/2004,0,,,,,,,
5106,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/20/2004,7/20/2004,0,,,,,,,
5107,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/20/2004,7/20/2004,0,25,,8.2,,,,
5108,R25,verde river at beeline highway,verde,verde @ beeline,7/20/2004,7/20/2004,0,,,,,,,
5109,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/20/2004,7/20/2004,0,,,,,,,
5110,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/20/2004,7/20/2004,0,24.4,,8.7,,,,
5111,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/20/2004,7/20/2004,0,,,,,,,
5112,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/20/2004,7/20/2004,0,,,,,,,
5113,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/20/2004,7/20/2004,0,22.8,,6.7,,,,
5114,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/20/2004,7/20/2004,0,,,,,,,
5115,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/20/2004,7/20/2004,0,22.6,,7.8,,,,
5116,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/20/2004,7/20/2004,0,24.3,,7.2,,,,
5117,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/20/2004,7/20/2004,0,,,,,,,
5118,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/20/2004,7/20/2004,0,,,,,,,
5119,Green In,Greenway WTP Inlet,srp,Green In,7/20/2004,7/20/2004,0,29.4,,8.4,,,,
5120,Green Out,Greenway WTP Outlet,srp,Green Out,7/20/2004,7/20/2004,0,,,,,,,
5121,R2A,Lake Pleasant integrated sample,cap,pleasant-0m,7/20/2004,7/20/2004,0,,,,,,,
5122,R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,7/20/2004,7/20/2004,4.6,,,,,,,
5123,R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,7/20/2004,7/20/2004,9.1,,,,,,,
5124,R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,7/20/2004,7/20/2004,13.7,,,,,,,
5125,R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,7/20/2004,7/20/2004,18.3,,,,,,,
5126,R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,7/20/2004,7/20/2004,22.9,,,,,,,
5127,R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,7/20/2004,7/20/2004,27.4,,,,,,,
5128,R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,7/20/2004,7/20/2004,32,,,,,,,
5129,R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,7/20/2004,7/20/2004,36.6,,,,,,,
5130,R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,7/20/2004,7/20/2004,41.1,,,,,,,
5131,R2-50,Lake Pleasant integrated sample,cap,pleasant-50m,7/20/2004,7/20/2004,45.7,,,,,,,
5132,R2-55,Lake Pleasant integrated sample,cap,pleasant-55m,7/20/2004,7/20/2004,50.3,,,,,,,
5133,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,7/20/2004,7/20/2004,0,28.6,7.6,,3.66,,,
5134,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,7/20/2004,7/20/2004,4.6,28.2,9.4,,,,,
5135,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,7/20/2004,7/20/2004,9.1,26.3,4.9,,,,,
5136,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,7/20/2004,7/20/2004,13.7,22.7,1.1,,,,,
5137,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,7/20/2004,7/20/2004,18.3,19.2,1.1,,,,,
5138,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,7/20/2004,7/20/2004,22.9,17.5,1,,,,,
5139,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,7/20/2004,7/20/2004,27.4,15.6,1,,,,,
5140,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,7/20/2004,7/20/2004,32,14.3,1,,,,,
5141,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,7/20/2004,7/20/2004,36.6,13.2,1,,,,,
5142,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,7/20/2004,7/20/2004,41.1,,,,,,,
5143,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,7/20/2004,7/20/2004,45.7,,,,,,,
5144,R6-55,Bartlett Reservoir near outlet,verde,bartlett-55m,7/20/2004,7/20/2004,50.3,,,,,,,
5145,R9A,Saguaro Lake near inlet,salt,saguaro-0m,7/20/2004,7/20/2004,0,28.5,9.3,,2.44,,,
5146,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,7/20/2004,7/20/2004,4.6,24.8,9.2,,,,,
5147,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,7/20/2004,7/20/2004,9.1,23.6,12,,,,,
5148,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,7/20/2004,7/20/2004,13.7,22.7,1,,,,,
5149,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,7/20/2004,7/20/2004,18.3,22.5,1,,,,,
5150,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,7/20/2004,7/20/2004,22.9,22.2,1.6,,,,,
5151,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,7/20/2004,7/20/2004,27.4,21.9,1.4,,,,,
5152,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,7/20/2004,7/20/2004,32,,,,,,,
5153,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,7/20/2004,7/20/2004,36.6,,,,,,,
5154,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,7/20/2004,7/20/2004,41.1,,,,,,,
5155,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,7/20/2004,7/20/2004,45.7,,,,,,,
5156,R9-55,Saguaro Lake near inlet,salt,saguaro-55m,7/20/2004,7/20/2004,50.3,,,,,,,
5157,R20,Verde River at Tangle,verde,verde abv horseshoe,7/20/2004,7/20/2004,0,,,,,,,
5158,Havasu 1,Havasu lake Sample,,Havasu 1,7/20/2004,7/20/2004,0,,,,,,,
5159,Havasu 2,Havasu lake Sample,,Havasu 2,7/20/2004,7/20/2004,0,,,,,,,
5160,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,7/20/2004,7/20/2004,0,,,,,,,
5161,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/20/2004,7/20/2004,0,,,,,,,
5162,R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/20/2004,7/20/2004,0,,,,,,,
5163,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,7/20/2004,7/20/2004,0,,,,,,,
5164,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/20/2004,7/20/2004,0,,,,,,,
5165,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/20/2004,7/20/2004,0,,,,,,,
5166,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/20/2004,7/20/2004,0,,,,,,,
5167,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/20/2004,7/20/2004,0,,,,,,,
5168,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/20/2004,7/20/2004,0,,,,,,,
5169,R3,Waddell Canal,cap,waddell canal,8/3/2004,8/3/2004,0,,,,,,,
5170,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/3/2004,8/3/2004,0,23.7,,7.9,,,,
5171,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/3/2004,8/3/2004,0,16.8,,8.1,,,,
5172,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/3/2004,8/3/2004,0,23.8,,7.9,,,,
5173,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/3/2004,8/3/2004,0,,,,,,,
5174,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/3/2004,8/3/2004,0,26.5,,8.5,,,,
5175,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/3/2004,8/3/2004,0,,,,,,,
5176,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/3/2004,8/3/2004,0,26.8,,8.4,,,,
5177,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/3/2004,8/3/2004,0,,,,,,,
5178,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/3/2004,8/3/2004,0,22.1,,7.9,,,,
5179,R19,Val Vista WTP treated water,srp,val vista-treated,8/3/2004,8/3/2004,0,,,,,,,
5180,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/3/2004,8/3/2004,0,26.6,,8.5,,,,
5181,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/3/2004,8/3/2004,0,,,,,,,
5182,R25,verde river at beeline highway,verde,verde @ beeline,8/3/2004,8/3/2004,0,,,,,,,
5183,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/3/2004,8/3/2004,0,22.7,,8,,,,
5184,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/3/2004,8/3/2004,0,24.1,,8.2,,,,
5185,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/3/2004,8/3/2004,0,26.1,,,,,,
5186,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/3/2004,8/3/2004,0,,,,,,,
5187,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/3/2004,8/3/2004,0,24.4,,8.1,,,,
5188,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,8/3/2004,8/3/2004,0,,,,,,,
5189,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,8/3/2004,8/3/2004,0,23.5,,7.9,,,,
5190,HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/3/2004,8/3/2004,0,23.5,,8.1,,,,
5191,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/3/2004,8/3/2004,0,25.1,,8.2,,,,
5192,SPT Out,Tempe's South Plant treated water,tempe,STP Out,8/3/2004,8/3/2004,0,,,,,,,
5193,Green In,Greenway WTP Inlet,srp,Green In,8/3/2004,8/3/2004,0,29.3,,8.4,,,,
5194,Green Out,Greenway WTP Outlet,srp,Green Out,8/3/2004,8/3/2004,0,,,,,,,
5195,R3,Waddell Canal,cap,waddell canal,8/17/2004,8/17/2004,0,14.9,,7.8,,,,
5196,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/2004,8/17/2004,0,24.3,,7.7,,,,
5197,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/2004,8/17/2004,0,17.3,,7.9,,,,
5198,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/17/2004,8/17/2004,0,26.5,,8.2,,,,
5199,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/17/2004,8/17/2004,0,,,,,,,
5200,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/17/2004,8/17/2004,0,25.6,,8.4,,,,
5201,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/17/2004,8/17/2004,0,,,,,,,
5202,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/2004,8/17/2004,0,27.8,,8.5,,,,
5203,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/2004,8/17/2004,0,,,,,,,
5204,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/17/2004,8/17/2004,0,22.3,,7.9,,,,
5205,R19,Val Vista WTP treated water,srp,val vista-treated,8/17/2004,8/17/2004,0,,,,,,,
