ID,site number,site location,cluster name,site acronym,date,month,sample type,MIB (ng/L) ASU,Geosmin  (ng/L) ASU,Beta-cyclocitral (ng/L),IPMP Recovery (%),MIB (ng/L) Phoenix,Geosmin  (ng/L) Phoenix,comments
952,"R26","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","04/01/02 00:00:00","04/01/02 00:00:00",,5.1,2.1,,,,,
953,"R1","CAP canal above Waddell Canal","cap","cap-siphon","05/01/02 00:00:00","05/01/02 00:00:00",,0,0,,,,,
954,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","05/01/02 00:00:00","05/01/02 00:00:00",,2.8,0,,,,,
955,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","05/01/02 00:00:00","05/01/02 00:00:00",,0,0,,,,,
956,"R3","Waddell Canal","cap","waddell canal","05/01/02 00:00:00","05/01/02 00:00:00",,0,0,,,,,
957,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","05/01/02 00:00:00","05/01/02 00:00:00",,0,0,,,,,
958,"R4dup","Cap Canal at 7th St.","cap","cap @ 7th st","05/01/02 00:00:00","05/01/02 00:00:00",,0,0,,,,,
959,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","05/01/02 00:00:00","05/01/02 00:00:00",,2.3,0,,,,,
960,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","05/01/02 00:00:00","05/01/02 00:00:00",,0,4,,,,,
961,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","05/01/02 00:00:00","05/01/02 00:00:00",,0,0,,,,,
962,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","05/01/02 00:00:00","05/01/02 00:00:00",,0,0,,,,,
963,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","05/01/02 00:00:00","05/01/02 00:00:00",,,,,,,,
964,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","05/01/02 00:00:00","05/01/02 00:00:00",,10,0,,,,,
965,"R9Adup","Saguaro Lake near inlet","salt","saguaro-epi","05/01/02 00:00:00","05/01/02 00:00:00",,9.800000000000001,0,,,,,
966,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","05/01/02 00:00:00","05/01/02 00:00:00",,7.6,0,,,,,
967,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","05/01/02 00:00:00","05/01/02 00:00:00",,6.1,0,,,,,
968,"R11","CAP Canal at Cross-connect","cap","cap @ x con","05/01/02 00:00:00","05/01/02 00:00:00",,0,0,,,,,
969,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","05/01/02 00:00:00","05/01/02 00:00:00",,3.4,0,,,,,
970,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","05/01/02 00:00:00","05/01/02 00:00:00",,4.3,0,,,,,
971,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","05/01/02 00:00:00","05/01/02 00:00:00",,3.5,0,,,,,
972,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","05/01/02 00:00:00","05/01/02 00:00:00",,4,0,,,,,
973,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","05/01/02 00:00:00","05/01/02 00:00:00",,3.5,0,,,,,
974,"R17","Deer Valley WTP treated water","srp","deer valley-treated","05/01/02 00:00:00","05/01/02 00:00:00",,3.4,0,,,,,
975,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","05/01/02 00:00:00","05/01/02 00:00:00",,2.1,0,,,,,
976,"R19","Val Vista WTP treated water","srp","val vista-treated","05/01/02 00:00:00","05/01/02 00:00:00",,2.3,0,,,,,
977,"R20","Verde River at Tangle","verde","verde abv horseshoe","05/01/02 00:00:00","05/01/02 00:00:00",,0,2.7,,,,,
978,"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","05/01/02 00:00:00","05/01/02 00:00:00",,3.1,0,,,,,
979,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","05/01/02 00:00:00","05/01/02 00:00:00",,3.1,0,,,,,
980,"R25","verde river at beeline highway","verde","verde @ beeline","05/01/02 00:00:00","05/01/02 00:00:00",,5.4,2.3,,,,,
981,"R26","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","05/01/02 00:00:00","05/01/02 00:00:00",,4.9,0,,,,,
982,"R1","CAP canal above Waddell Canal","cap","cap-siphon","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
983,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
984,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
985,"R3","Waddell Canal","cap","waddell canal","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
986,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
987,"R4dup","Cap Canal at 7th St.","cap","cap @ 7th st","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
988,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","06/01/02 00:00:00","06/01/02 00:00:00",,11.8,0,,,,,
989,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","06/01/02 00:00:00","06/01/02 00:00:00",,2.9,0,,,,,
990,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
991,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
992,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","06/01/02 00:00:00","06/01/02 00:00:00",,,,,,,,
993,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","06/01/02 00:00:00","06/01/02 00:00:00",,11.3,3.3,,,,,
994,"R9Adup","Saguaro Lake near inlet","salt","saguaro-epi","06/01/02 00:00:00","06/01/02 00:00:00",,10,2.5,,,,,
995,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","06/01/02 00:00:00","06/01/02 00:00:00",,9.300000000000001,0,,,,,
996,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","06/01/02 00:00:00","06/01/02 00:00:00",,6.7,0,,,,,
997,"R11","CAP Canal at Cross-connect","cap","cap @ x con","06/01/02 00:00:00","06/01/02 00:00:00",,0,0,,,,,
998,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","06/01/02 00:00:00","06/01/02 00:00:00",,6.8,0,,,,,
999,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","06/01/02 00:00:00","06/01/02 00:00:00",,5.7,0,,,,,
1000,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","06/01/02 00:00:00","06/01/02 00:00:00",,4.4,2.2,,,,,
1001,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","06/01/02 00:00:00","06/01/02 00:00:00",,4.5,2,,,,,
1002,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","06/01/02 00:00:00","06/01/02 00:00:00",,5.3,2.1,,,,,
1003,"R17","Deer Valley WTP treated water","srp","deer valley-treated","06/01/02 00:00:00","06/01/02 00:00:00",,5.9,2.6,,,,,
1004,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","06/01/02 00:00:00","06/01/02 00:00:00",,5.3,2.1,,,,,
1005,"R19","Val Vista WTP treated water","srp","val vista-treated","06/01/02 00:00:00","06/01/02 00:00:00",,6.1,2,,,,,
1006,"R20","Verde River at Tangle","verde","verde abv horseshoe","06/01/02 00:00:00","06/01/02 00:00:00",,6.6,8.699999999999999,,,,,
1007,"R21","AZ Canal - Central Ave (N. of Northern)","srp","az canal @ central ave.","06/01/02 00:00:00","06/01/02 00:00:00",,6.3,2.7,,,,,
1008,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","06/01/02 00:00:00","06/01/02 00:00:00",,4.9,2.3,,,,,
1009,"R25","verde river at beeline highway","verde","verde @ beeline","06/01/02 00:00:00","06/01/02 00:00:00",,5.8,6.2,,,,,
1010,"R26","AZ Canal - 19th avenue","srp","az canal @ 19 ave.","06/01/02 00:00:00","06/01/02 00:00:00",,5.2,2.8,,,,,
1011,"UH In","Union Hills Inlet","cap","Union Hills Inlet","07/01/02 00:00:00","07/01/02 00:00:00",,0,0,,,,,
1012,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","07/01/02 00:00:00","07/01/02 00:00:00",,0,0,,,,,
1013,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/01/02 00:00:00","07/01/02 00:00:00",,0,0,,,,,
1014,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/01/02 00:00:00","07/01/02 00:00:00",,5.1,0,,,,,
1015,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/01/02 00:00:00","07/01/02 00:00:00",,5.3,0,,,,,
1016,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","07/01/02 00:00:00","07/01/02 00:00:00",,5.9,0,,,,,
1017,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","07/01/02 00:00:00","07/01/02 00:00:00",,5,0,,,,,
1018,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","07/01/02 00:00:00","07/01/02 00:00:00",,5.2,0,,,,,
1019,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","07/01/02 00:00:00","07/01/02 00:00:00",,4.5,0,,,,,
1020,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","07/01/02 00:00:00","07/01/02 00:00:00",,5.2,0,,,,,
1021,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","07/01/02 00:00:00","07/01/02 00:00:00",,5.3,2.1,,,,,
1022,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","07/01/02 00:00:00","07/01/02 00:00:00",,3.8,0,,,,,
1023,"16th St.","AZ Canal at 16th Street","srp","az canal @ 16th st.","07/01/02 00:00:00","07/01/02 00:00:00",,3.7,0,,,,,
1024,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","07/01/02 00:00:00","07/01/02 00:00:00",,4.5,0,,,,,
1025,"19th Av.","AZ Canal at 19th Av.","srp","az canal @ 19th av.","07/01/02 00:00:00","07/01/02 00:00:00",,5.1,0,,,,,
1026,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","07/01/02 00:00:00","07/01/02 00:00:00",,3.9,2.3,,,,,
1027,"R17","Deer Valley WTP treated water","srp","deer valley-treated","07/01/02 00:00:00","07/01/02 00:00:00",,3.2,0,,,,,
1028,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","07/01/02 00:00:00","07/01/02 00:00:00",,4.9,0,,,,,
1029,"R19","Val Vista WTP treated water","srp","val vista-treated","07/01/02 00:00:00","07/01/02 00:00:00",,4.3,0,,,,,
1030,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","07/01/02 00:00:00","07/01/02 00:00:00",,3.5,0,,,,,
1031,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","07/01/02 00:00:00","07/01/02 00:00:00",,4.2,0,,,,,
1032,"Cons","Head of the Tempe Canal","tempe","head of tempe canal","07/01/02 00:00:00","07/01/02 00:00:00",,3.3,0,,,,,
1033,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","07/01/02 00:00:00","07/01/02 00:00:00",,3.1,0,,,,,
1034,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","07/01/02 00:00:00","07/01/02 00:00:00",,7.5,2.3,,,,,
1035,"UH In","Union Hills Inlet","cap","Union Hills Inlet","07/08/02 00:00:00","07/08/02 00:00:00",,0,0,,,,,
1036,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","07/08/02 00:00:00","07/08/02 00:00:00",,0,0,,,,,
1037,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/08/02 00:00:00","07/08/02 00:00:00",,0,0,,,,,
1038,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/08/02 00:00:00","07/08/02 00:00:00",,6.1,0,,,,,
1039,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/08/02 00:00:00","07/08/02 00:00:00",,3.8,0,,,,,
1040,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","07/08/02 00:00:00","07/08/02 00:00:00",,5.8,0,,,,,
1041,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","07/08/02 00:00:00","07/08/02 00:00:00",,5,0,,,,,
1042,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","07/08/02 00:00:00","07/08/02 00:00:00",,5.2,0,,,,,
1043,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","07/08/02 00:00:00","07/08/02 00:00:00",,4.4,0,,,,,
1044,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","07/08/02 00:00:00","07/08/02 00:00:00",,4.4,0,,,,,
1045,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","07/08/02 00:00:00","07/08/02 00:00:00",,4.3,0,,,,,
1046,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","07/08/02 00:00:00","07/08/02 00:00:00",,4.2,0,,,,,
1047,"16th St.","AZ Canal at 16th Street","srp","az canal @ 16th st.","07/08/02 00:00:00","07/08/02 00:00:00",,4.2,0,,,,,
1048,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","07/08/02 00:00:00","07/08/02 00:00:00",,5.5,2.1,,,,,
1049,"19th Av.","AZ Canal at 19th Av.","srp","az canal @ 19th av.","07/08/02 00:00:00","07/08/02 00:00:00",,6.3,0,,,,,
1050,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","07/08/02 00:00:00","07/08/02 00:00:00",,3.6,2.2,,,,,
1051,"R17","Deer Valley WTP treated water","srp","deer valley-treated","07/08/02 00:00:00","07/08/02 00:00:00",,4.2,2.2,,,,,
1052,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","07/08/02 00:00:00","07/08/02 00:00:00",,2.8,0,,,,,
1053,"R19","Val Vista WTP treated water","srp","val vista-treated","07/08/02 00:00:00","07/08/02 00:00:00",,3.7,0,,,,,
1054,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","07/08/02 00:00:00","07/08/02 00:00:00",,3.5,0,,,,,
1055,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","07/08/02 00:00:00","07/08/02 00:00:00",,4.6,2.4,,,,,
1056,"Cons","Head of the Tempe Canal","tempe","head of tempe canal","07/08/02 00:00:00","07/08/02 00:00:00",,3.2,0,,,,,
1057,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","07/08/02 00:00:00","07/08/02 00:00:00",,3.8,0,,,,,
1058,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","07/08/02 00:00:00","07/08/02 00:00:00",,10.2,2.8,,,,,
1059,"UH In","Union Hills Inlet","cap","Union Hills Inlet","07/16/02 00:00:00","07/16/02 00:00:00",,0,0,,,,,
1060,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","07/16/02 00:00:00","07/16/02 00:00:00",,0,0,,,,,
1061,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/16/02 00:00:00","07/16/02 00:00:00",,0,0,,,,,
1062,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/16/02 00:00:00","07/16/02 00:00:00",,5.4,0,,,,,
1063,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/16/02 00:00:00","07/16/02 00:00:00",,4.2,0,,,,,
1064,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","07/16/02 00:00:00","07/16/02 00:00:00",,3.5,0,,,,,
1065,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","07/16/02 00:00:00","07/16/02 00:00:00",,3.8,0,,,,,
1066,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","07/16/02 00:00:00","07/16/02 00:00:00",,3.7,0,,,,,
1067,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","07/16/02 00:00:00","07/16/02 00:00:00",,3.7,0,,,,,
1068,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","07/16/02 00:00:00","07/16/02 00:00:00",,3.9,0,,,,,
1069,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","07/16/02 00:00:00","07/16/02 00:00:00",,6.3,3.1,,,,,
1070,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","07/16/02 00:00:00","07/16/02 00:00:00",,4.1,2.5,,,,,
1071,"16th St.","AZ Canal at 16th Street","srp","az canal @ 16th st.","07/16/02 00:00:00","07/16/02 00:00:00",,4.9,3.1,,,,,
1072,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","07/16/02 00:00:00","07/16/02 00:00:00",,5.7,2.9,,,,,
1073,"19th Av.","AZ Canal at 19th Av.","srp","az canal @ 19th av.","07/16/02 00:00:00","07/16/02 00:00:00",,4.7,3.4,,,,,
1074,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","07/16/02 00:00:00","07/16/02 00:00:00",,3.6,2.9,,,,,
1075,"R17","Deer Valley WTP treated water","srp","deer valley-treated","07/16/02 00:00:00","07/16/02 00:00:00",,2.9,2.4,,,,,
1076,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","07/16/02 00:00:00","07/16/02 00:00:00",,3.3,0,,,,,
1077,"R19","Val Vista WTP treated water","srp","val vista-treated","07/16/02 00:00:00","07/16/02 00:00:00",,3,0,,,,,
1078,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","07/16/02 00:00:00","07/16/02 00:00:00",,4.4,0,,,,,
1079,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","07/16/02 00:00:00","07/16/02 00:00:00",,4.5,4.1,,,,,
1080,"Cons","Head of the Tempe Canal","tempe","head of tempe canal","07/16/02 00:00:00","07/16/02 00:00:00",,3.3,2.1,,,,,
1081,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","07/16/02 00:00:00","07/16/02 00:00:00",,5.5,2.1,,,,,
1082,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","07/16/02 00:00:00","07/16/02 00:00:00",,7.5,2.4,,,,,
1083,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","07/16/02 00:00:00","07/16/02 00:00:00",,5.1,0,,,,,
1084,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","07/16/02 00:00:00","07/16/02 00:00:00",,0,0,,,,,
1085,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","07/16/02 00:00:00","07/16/02 00:00:00",,49.9,2,,,,,
1086,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","07/16/02 00:00:00","07/16/02 00:00:00",,0,0,,,,,
1087,"R9A","Saguaro Lake near inlet","srp","saguaro-epi","07/16/02 00:00:00","07/16/02 00:00:00",,15.5,0,,,,,
1088,"RA Dup","Saguaro Lake near inlet","srp","saguaro-epi","07/16/02 00:00:00","07/16/02 00:00:00",,16.6,0,,,,,
1089,"R9B","Saguaro Lake near inlet","srp","saguaro-hypo","07/16/02 00:00:00","07/16/02 00:00:00",,7.9,0,,,,,
1090,"UH In","Union Hills Inlet","cap","Union Hills Inlet","07/22/02 00:00:00","07/22/02 00:00:00",,0,0,,,,,
1091,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","07/22/02 00:00:00","07/22/02 00:00:00",,0,0,,,,,
1092,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/22/02 00:00:00","07/22/02 00:00:00",,2.1,0,,,,,
1093,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/22/02 00:00:00","07/22/02 00:00:00",,5.5,2,,,,,
1094,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/22/02 00:00:00","07/22/02 00:00:00",,2.8,0,,,,,
1095,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","07/22/02 00:00:00","07/22/02 00:00:00",,3.6,0,,,,,
1096,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","07/22/02 00:00:00","07/22/02 00:00:00",,3.4,0,,,,,
1097,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","07/22/02 00:00:00","07/22/02 00:00:00",,2.2,2,,,,,
1098,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","07/22/02 00:00:00","07/22/02 00:00:00",,3.4,0,,,,,
1099,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","07/22/02 00:00:00","07/22/02 00:00:00",,3.5,0,,,,,
1100,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","07/22/02 00:00:00","07/22/02 00:00:00",,3.5,3.7,,,,,
1101,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","07/22/02 00:00:00","07/22/02 00:00:00",,4,3.3,,,,,
1102,"16th St.","AZ Canal at 16th Street","srp","az canal @ 16th st.","07/22/02 00:00:00","07/22/02 00:00:00",,5.2,3.1,,,,,
1103,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","07/22/02 00:00:00","07/22/02 00:00:00",,5.5,3.9,,,,,
1104,"19th Av.","AZ Canal at 19th Av.","srp","az canal @ 19th av.","07/22/02 00:00:00","07/22/02 00:00:00",,5.1,3.3,,,,,
1105,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","07/22/02 00:00:00","07/22/02 00:00:00",,5.7,4.2,,,,,
1106,"R17","Deer Valley WTP treated water","srp","deer valley-treated","07/22/02 00:00:00","07/22/02 00:00:00",,5.9,4,,,,,
1107,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","07/22/02 00:00:00","07/22/02 00:00:00",,3.9,2.5,,,,,
1108,"R19","Val Vista WTP treated water","srp","val vista-treated","07/22/02 00:00:00","07/22/02 00:00:00",,3.7,2.8,,,,,
1109,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","07/22/02 00:00:00","07/22/02 00:00:00",,3,0,,,,,
1110,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","07/22/02 00:00:00","07/22/02 00:00:00",,5.5,3.2,,,,,
1111,"Cons","Head of the Tempe Canal","tempe","head of tempe canal","07/22/02 00:00:00","07/22/02 00:00:00",,3.6,2.2,,,,,
1112,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","07/22/02 00:00:00","07/22/02 00:00:00",,5.6,2.4,,,,,
1113,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","07/22/02 00:00:00","07/22/02 00:00:00",,6.9,2.7,,,,,
1114,"UH In","Union Hills Inlet","cap","Union Hills Inlet","07/29/02 00:00:00","07/29/02 00:00:00",,0,0,,,,,
1115,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","07/29/02 00:00:00","07/29/02 00:00:00",,2.1,0,,,,,
1116,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/29/02 00:00:00","07/29/02 00:00:00",,0,0,,,,,
1117,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/29/02 00:00:00","07/29/02 00:00:00",,5.9,2.6,,,,,
1118,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/29/02 00:00:00","07/29/02 00:00:00",,3.9,0,,,,,
1119,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","07/29/02 00:00:00","07/29/02 00:00:00",,5.3,0,,,,,
1120,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","07/29/02 00:00:00","07/29/02 00:00:00",,3.4,2.1,,,,,
1121,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","07/29/02 00:00:00","07/29/02 00:00:00",,3.2,0,,,,,
1122,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","07/29/02 00:00:00","07/29/02 00:00:00",,2.7,0,,,,,
1123,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","07/29/02 00:00:00","07/29/02 00:00:00",,3.6,2.1,,,,,
1124,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","07/29/02 00:00:00","07/29/02 00:00:00",,4.3,3.9,,,,,
1125,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","07/29/02 00:00:00","07/29/02 00:00:00",,3.5,4.3,,,,,
1126,"16th St.","AZ Canal at 16th Street","srp","az canal @ 16th st.","07/29/02 00:00:00","07/29/02 00:00:00",,5,3.9,,,,,
1127,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","07/29/02 00:00:00","07/29/02 00:00:00",,4.2,4.2,,,,,
1128,"19th Av.","AZ Canal at 19th Av.","srp","az canal @ 19th av.","07/29/02 00:00:00","07/29/02 00:00:00",,5.3,3.8,,,,,
1129,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","07/29/02 00:00:00","07/29/02 00:00:00",,5.6,3.9,,,,,
1130,"R17","Deer Valley WTP treated water","srp","deer valley-treated","07/29/02 00:00:00","07/29/02 00:00:00",,4.4,4.8,,,,,
1131,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","07/29/02 00:00:00","07/29/02 00:00:00",,4.5,3,,,,,
1132,"R19","Val Vista WTP treated water","srp","val vista-treated","07/29/02 00:00:00","07/29/02 00:00:00",,5.3,4,,,,,
1133,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","07/29/02 00:00:00","07/29/02 00:00:00",,4.2,3,,,,,
1134,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","07/29/02 00:00:00","07/29/02 00:00:00",,4.5,3.2,,,,,
1135,"Cons","Head of the Tempe Canal","tempe","head of tempe canal","07/29/02 00:00:00","07/29/02 00:00:00",,4.7,2.4,,,,,
1136,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","07/29/02 00:00:00","07/29/02 00:00:00",,6.7,2.3,,,,,
1137,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","07/29/02 00:00:00","07/29/02 00:00:00",,7,2.9,,,,,
1138,"UH In","Union Hills Inlet","cap","Union Hills Inlet","08/05/02 00:00:00","08/05/02 00:00:00",,0,0,,,,,
1139,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","08/05/02 00:00:00","08/05/02 00:00:00",,3.4,0,,,,,
1140,"R11","CAP Canal at Cross-connect","cap","cap @ x con","08/05/02 00:00:00","08/05/02 00:00:00",,3.8,0,,,,,
1141,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","08/05/02 00:00:00","08/05/02 00:00:00",,6.4,2,,,,,
1142,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","08/05/02 00:00:00","08/05/02 00:00:00",,5.1,0,,,,,
1143,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","08/05/02 00:00:00","08/05/02 00:00:00",,5.4,0,,,,,
1144,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","08/05/02 00:00:00","08/05/02 00:00:00",,5.9,2,,,,,
1145,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","08/05/02 00:00:00","08/05/02 00:00:00",,5.2,0,,,,,
1146,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","08/05/02 00:00:00","08/05/02 00:00:00",,5.4,2.1,,,,,
