ID,Miles from Granite Reef Dam,mi from 24th st,site number,Location,Date,MIB (ng/L),Chlor-A, ug/cm2,Total Nitrogen,Dissolved Nitrogen,Total Phosphate,Dissolved Phosphate,Geosmin (ng/L)
160,,,"R16","AZ Canal - Inlet to Deer Valley WTP","07/14/01 00:00:00",33.7,,,,,,
161,,,"R17","Deer Valley WTP treated water","07/14/01 00:00:00",,,,,,,
162,34.66,10.5,"51st Av.","51st Av.","07/14/01 00:00:00",34.2,,,,,,
163,37,13.2,"67th Av.","67th Av.","07/14/01 00:00:00",,,,,,,
164,,,"Little Harq p.p.","Little Harq p.p.","07/14/01 00:00:00",,,,,,,
165,,,"Havasu p.p.","Havasu p.p.","07/14/01 00:00:00",,,,,,,
166,,,"R4","CAP at 7th ST","07/18/01 00:00:00",,,,,,,
167,,,"R18","South Canal at Val Vista WTP","07/18/01 00:00:00",,,,,,,
168,,,"R19","Val Vista WTP treated water","07/18/01 00:00:00",,,,,,,
169,,,"R10","Salt River below Saguaro Lake","07/18/01 00:00:00",,,,,,,
170,,,"R11","CAP Canal at cross-connect","07/18/01 00:00:00",,,,,,,
171,0,,"R12","AZ Canal above CAP cross-connect","07/18/01 00:00:00",,,,,,,
172,0.5,,"R13","AZ Canal below CAP cross-connect","07/18/01 00:00:00",,,,,,,
173,4,,"Hwy 87","AZ Canal at Highway 87","07/18/01 00:00:00",,,,,,,
174,1.2,,"B1","B1","07/18/01 00:00:00",,,,,,,
175,2.4,,"B2","B2","07/18/01 00:00:00",,,,,,,
176,5.2,,"B3","B3","07/18/01 00:00:00",,,,,,,
177,6.4,,"B4","B4","07/18/01 00:00:00",,,,,,,
178,8.460000000000001,,"Mesa","AZ Canal at Mesa Dr.","07/18/01 00:00:00",,,,,,,
179,12.94,,"Pima","AZ Canal at Pima Rd.","07/18/01 00:00:00",,,,,,,
180,16.88,,"Scotts","AZ Canal at Scottsdale Rd.","07/18/01 00:00:00",,,,,,,
181,18.7,,"R22","AZ Canal - 56th St. (Alma School Road)","07/18/01 00:00:00",,,,,,,
182,21.11,,"44th St.","AZ Canal at 44th Street","07/18/01 00:00:00",,,,,,,
183,,,"32nd St.","AZ Canal at 32nd Street","07/18/01 00:00:00",,,,,,,
184,24.06,0,"24th St.","24th St.","07/18/01 00:00:00",22.8,,,,,,
185,,,"R14","AZ Canal - Inlet to Squaw Peak WTP","07/18/01 00:00:00",22.8,,,,,,
186,,,"R15","Squaw Peak WTP treated water","07/18/01 00:00:00",,,,,,,
187,25.76,1.7,"16th St.","AZ Canal at 16th Street","07/18/01 00:00:00",29.1,,,,,,
188,27.06,3,"Northern","AZ Canal at Northern Avenue","07/18/01 00:00:00",27.5,,,,,,
189,28.16,4.1,"R21","AZ Canal at Central Av.","07/18/01 00:00:00",31.7,,,,,,
190,29.66,5.6,"19th Av.","AZ Canal at 19th Av.","07/18/01 00:00:00",34.6,,,,,,
191,,,"25th Av.","25th Av.","07/18/01 00:00:00",,,,,,,
192,31,7,"29th Av.","29th Av.","07/18/01 00:00:00",37.2,,,,,,
193,,,"R16","AZ Canal - Inlet to Deer Valley WTP","07/18/01 00:00:00",37.2,,,,,,
194,,,"R17","Deer Valley WTP treated water","07/18/01 00:00:00",,,,,,,
195,34.66,10.5,"51st Av.","51st Av.","07/18/01 00:00:00",32.7,,,,,,
196,37,13.2,"67th Av.","67th Av.","07/18/01 00:00:00",,,,,,,
197,,,"Little Harq p.p.","Little Harq p.p.","07/18/01 00:00:00",,,,,,,
198,,,"Havasu p.p.","Havasu p.p.","07/18/01 00:00:00",,,,,,,
199,,,"R4","CAP at 7th ST","07/25/01 00:00:00",,,,,,,
200,,,"R18","South Canal at Val Vista WTP","07/25/01 00:00:00",,,,,,,
201,,,"R19","Val Vista WTP treated water","07/25/01 00:00:00",,,,,,,
202,,,"R10","Salt River below Saguaro Lake","07/25/01 00:00:00",,,,,,,
203,,,"R11","CAP Canal at cross-connect","07/25/01 00:00:00",,,,,,,
204,0,,"R12","AZ Canal above CAP cross-connect","07/25/01 00:00:00",,,,,,,
205,0.5,,"R13","AZ Canal below CAP cross-connect","07/25/01 00:00:00",,,,,,,
206,4,,"Hwy 87","AZ Canal at Highway 87","07/25/01 00:00:00",,,,,,,
207,1.2,,"B1","B1","07/25/01 00:00:00",,,,,,,
208,2.4,,"B2","B2","07/25/01 00:00:00",,,,,,,
209,5.2,,"B3","B3","07/25/01 00:00:00",,,,,,,
210,6.4,,"B4","B4","07/25/01 00:00:00",,,,,,,
211,8.460000000000001,,"Mesa","AZ Canal at Mesa Dr.","07/25/01 00:00:00",,,,,,,
212,12.94,,"Pima","AZ Canal at Pima Rd.","07/25/01 00:00:00",,,,,,,
213,16.88,,"Scotts","AZ Canal at Scottsdale Rd.","07/25/01 00:00:00",,,,,,,
214,18.7,,"R22","AZ Canal - 56th St. (Alma School Road)","07/25/01 00:00:00",,,,,,,
215,21.11,,"44th St.","AZ Canal at 44th Street","07/25/01 00:00:00",,,,,,,
216,,,"32nd St.","AZ Canal at 32nd Street","07/25/01 00:00:00",,,,,,,
217,24.06,0,"24th St.","24th St.","07/25/01 00:00:00",22.9,,,,,,
218,,,"R14","AZ Canal - Inlet to Squaw Peak WTP","07/25/01 00:00:00",22.9,,,,,,
219,,,"R15","Squaw Peak WTP treated water","07/25/01 00:00:00",,,,,,,
