ID,site number,site location,cluster name,site acronym,date,month,UVAf (Al sorp),DOCf (Al sorp),SUVAf,% UVA Rem,% DOC Rem,CHCl3 (ug/L),CHBrCl2 (ug/L),CHClBr2 (ug/L),CHBr3 (ug/L),TTHM (ug/L),MCAA monochloroacetic acid (ug/L),MBAA monobromoacetic acid (ug/L),DCAA dichloroacetic acid (ug/L),TCAA trichloroacetic acid (ug/L),BCAA bromochloroacetic acid (ug/L),DBAA dibromoacetic acid (ug/L),BDCAA Bromodichloroacetic acid,CDBAA Chlorodibromacetic acid,TBAA Tribromoacetic acid,DiHAA,% DBA dibromopropionic acid (% recovery),THAA9 (ug/L),MCAA COP,MBAA COP,DCAA COP,TCAA COP,BCAA COP,DBAA COP,BDCAA COP,CDBAA COP,TBAA COP,DiHAA COP,THAA9 COP,% DBA COP,sample type,docq comments
147,"R1","CAP canal above Waddell Canal","cap","cap-siphon","04/17/01 00:00:00","04/01/01 00:00:00",1.0900000000000000e-02,1.1439999999999999e+00,9.5300000000000003e-03,7.4099999999999994e+01,5.9899999999999999e+01,3.7500000000000000e+01,2.5600000000000001e+01,1.5500000000000000e+01,,7.8599999999999994e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.4000000000000000e+01,1.1000000000000000e+01,8.4000000000000004e+00,3.2999999999999998e+00,8.0000000000000000e+00,2.6000000000000001e+00,0.0000000000000000e+00,2.5699999999999999e+01,1.0500000000000000e+02,4.8299999999999997e+01,,,,,,,,,,,,,,
148,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","04/17/01 00:00:00","04/01/01 00:00:00",1.7299999999999999e-02,1.4205000000000001e+00,1.2180000000000000e-02,6.6099999999999994e+01,6.0899999999999999e+01,5.2500000000000000e+01,3.2500000000000000e+01,1.7600000000000001e+01,,1.0259999999999999e+02,2.2999999999999998e+00,1.1000000000000001e+00,1.7000000000000000e+01,1.6000000000000000e+01,9.3000000000000007e+00,3.5000000000000000e+00,1.1000000000000000e+01,3.2000000000000002e+00,0.0000000000000000e+00,2.9800000000000001e+01,1.0000000000000000e+02,6.3399999999999999e+01,,,,,,,,,,,,,,
149,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","04/17/01 00:00:00","04/01/01 00:00:00",1.6899999999999998e-02,1.5265000000000000e+00,1.1070000000000000e-02,6.5200000000000003e+01,5.8799999999999997e+01,4.0100000000000001e+01,2.8500000000000000e+01,1.8000000000000000e+01,,8.6599999999999994e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.3000000000000000e+01,1.2000000000000000e+01,8.6999999999999993e+00,3.8999999999999999e+00,9.9000000000000004e+00,3.0000000000000000e+00,0.0000000000000000e+00,2.5600000000000001e+01,9.4000000000000000e+01,5.1500000000000000e+01,,,,,,,,,,,,,,
150,"R3","Waddell Canal","cap","waddell canal","04/17/01 00:00:00","04/01/01 00:00:00",1.1299999999999999e-02,1.2795000000000001e+00,8.8299999999999993e-03,7.3700000000000003e+01,6.1200000000000003e+01,4.4200000000000003e+01,3.0000000000000000e+01,1.6300000000000001e+01,,9.0500000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,1.4000000000000000e+01,1.1000000000000000e+01,8.0999999999999996e+00,3.2999999999999998e+00,8.5999999999999996e+00,2.5000000000000000e+00,0.0000000000000000e+00,2.5399999999999999e+01,1.0500000000000000e+02,4.9500000000000000e+01,,,,,,,,,,,,,,
151,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","04/19/01 00:00:00","04/01/01 00:00:00",1.2350000000000000e-02,1.4085000000000001e+00,8.7700000000000000e-03,7.2099999999999994e+01,5.2000000000000000e+01,4.8799999999999997e+01,2.9199999999999999e+01,1.6600000000000001e+01,,9.4599999999999994e+01,2.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,1.1000000000000000e+01,7.7000000000000002e+00,3.2999999999999998e+00,8.9000000000000004e+00,2.6000000000000001e+00,0.0000000000000000e+00,2.4000000000000000e+01,1.0300000000000000e+02,4.8500000000000000e+01,,,,,,,,,,,,,,
152,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","04/19/01 00:00:00","04/01/01 00:00:00",1.2999999999999999e-02,1.4610000000000001e+00,8.8999999999999999e-03,7.2599999999999994e+01,6.2399999999999999e+01,5.1700000000000003e+01,3.1100000000000001e+01,1.6500000000000000e+01,,9.9299999999999997e+01,2.3999999999999999e+00,1.0000000000000000e+00,1.5000000000000000e+01,1.2000000000000000e+01,8.0000000000000000e+00,3.1000000000000001e+00,9.6999999999999993e+00,2.3999999999999999e+00,2.2000000000000002e+00,2.6100000000000001e+01,1.0100000000000000e+02,5.5799999999999997e+01,,,,,,,,,,,,,,
153,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","04/17/01 00:00:00","04/01/01 00:00:00",1.5650000000000001e-02,9.7799999999999998e-01,1.6000000000000000e-02,8.2599999999999994e+01,7.1299999999999997e+01,1.2850000000000000e+02,2.9699999999999999e+01,2.8999999999999999e+00,,1.6109999999999999e+02,3.1000000000000001e+00,0.0000000000000000e+00,3.7000000000000000e+01,5.1000000000000000e+01,7.2999999999999998e+00,1.1000000000000001e+00,6.9000000000000004e+00,1.5000000000000000e+00,0.0000000000000000e+00,4.5399999999999999e+01,1.1300000000000000e+02,1.0790000000000001e+02,,,,,,,,,,,,,,
154,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","04/17/01 00:00:00","04/01/01 00:00:00",1.3450000000000000e-02,9.9500000000000000e-01,1.3520000000000001e-02,8.3900000000000006e+01,7.2400000000000006e+01,1.1790000000000001e+02,3.3600000000000001e+01,6.5000000000000000e+00,,1.5800000000000000e+02,3.0000000000000000e+00,0.0000000000000000e+00,3.4000000000000000e+01,4.5000000000000000e+01,8.5000000000000000e+00,1.5000000000000000e+00,8.9000000000000004e+00,1.7000000000000000e+00,0.0000000000000000e+00,4.4000000000000000e+01,1.1100000000000000e+02,1.0259999999999999e+02,,,,,,,,,,,,,,
155,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","04/17/01 00:00:00","04/01/01 00:00:00",1.1150000000000000e-02,7.4050000000000005e-01,1.5060000000000000e-02,8.0799999999999997e+01,6.4500000000000000e+01,7.0500000000000000e+01,3.3700000000000003e+01,1.3000000000000000e+01,,1.1720000000000000e+02,2.2999999999999998e+00,0.0000000000000000e+00,2.0000000000000000e+01,2.4000000000000000e+01,8.6999999999999993e+00,2.2000000000000002e+00,9.5000000000000000e+00,2.2999999999999998e+00,0.0000000000000000e+00,3.0899999999999999e+01,9.3000000000000000e+01,6.9000000000000000e+01,,,,,,,,,,,,,,
156,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","04/17/01 00:00:00","04/01/01 00:00:00",1.1100000000000000e-02,7.7400000000000002e-01,1.4340000000000000e-02,7.9599999999999994e+01,6.2399999999999999e+01,6.5200000000000003e+01,3.3799999999999997e+01,1.4100000000000000e+01,,1.1309999999999999e+02,2.0000000000000000e+00,0.0000000000000000e+00,1.9000000000000000e+01,2.1000000000000000e+01,8.8000000000000007e+00,2.5000000000000000e+00,8.8000000000000007e+00,2.2999999999999998e+00,0.0000000000000000e+00,3.0300000000000001e+01,1.2000000000000000e+02,6.4400000000000006e+01,,,,,,,,,,,,,,
157,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","04/18/01 00:00:00","04/01/01 00:00:00",1.5100000000000001e-02,1.1180000000000001e+00,1.3509999999999999e-02,7.5200000000000003e+01,6.5299999999999997e+01,5.6600000000000001e+01,4.7100000000000001e+01,3.5399999999999999e+01,3.7000000000000002e+00,1.4280000000000001e+02,2.2000000000000002e+00,1.6000000000000001e+00,1.7000000000000000e+01,1.5000000000000000e+01,1.3000000000000000e+01,7.0999999999999996e+00,1.6000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,3.7100000000000001e+01,1.1300000000000000e+02,7.7900000000000006e+01,,,,,,,,,,,,,,
