ID,site number,site location,cluster name,site acronym,date,month,UVAf (Al sorp),DOCf (Al sorp),SUVAf,% UVA Rem,% DOC Rem,CHCl3 (ug/L),CHBrCl2 (ug/L),CHClBr2 (ug/L),CHBr3 (ug/L),TTHM (ug/L),MCAA monochloroacetic acid (ug/L),MBAA monobromoacetic acid (ug/L),DCAA dichloroacetic acid (ug/L),TCAA trichloroacetic acid (ug/L),BCAA bromochloroacetic acid (ug/L),DBAA dibromoacetic acid (ug/L),BDCAA Bromodichloroacetic acid,CDBAA Chlorodibromacetic acid,TBAA Tribromoacetic acid,DiHAA,% DBA dibromopropionic acid (% recovery),THAA9 (ug/L),MCAA COP,MBAA COP,DCAA COP,TCAA COP,BCAA COP,DBAA COP,BDCAA COP,CDBAA COP,TBAA COP,DiHAA COP,THAA9 COP,% DBA COP,sample type,docq comments
38,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","01/11/00 00:00:00","01/01/00 00:00:00",1.2000000000000000e-02,8.4599999999999997e-01,1.4200000000000001e-02,6.9150000000000006e+01,5.1039999999999999e+01,4.7799999999999997e+01,2.7850000000000001e+01,1.5000000000000000e+01,,9.0650000000000006e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"az canal shut-down"
40,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"az canal shut-down"
41,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"az canal shut-down"
42,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"az canal shut-down"
43,"R17","Deer Valley WTP treated water","srp","deer valley-treated","01/11/00 00:00:00","01/01/00 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"az canal shut-down"
44,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","01/11/00 00:00:00","01/01/00 00:00:00",1.0999999999999999e-02,8.6199999999999999e-01,1.2800000000000001e-02,7.1579999999999998e+01,5.3100000000000001e+01,4.7750000000000000e+01,2.8250000000000000e+01,1.6000000000000000e+01,,9.2000000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"R19","Val Vista WTP treated water","srp","val vista-treated","01/11/00 00:00:00","01/01/00 00:00:00",8.9999999999999993e-03,1.0950000000000000e+00,8.2000000000000007e-03,4.7670000000000002e+01,3.6450000000000003e+01,5.2350000000000001e+01,2.7750000000000000e+01,1.7649999999999999e+01,,9.7750000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/30/00 00:00:00","01/01/00 00:00:00",8.0000000000000002e-03,6.2800000000000000e-01,1.2699999999999999e-02,5.1520000000000003e+01,4.5149999999999999e+01,2.2500000000000000e+01,1.5449999999999999e+01,1.5150000000000000e+01,,5.3100000000000001e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"R1","CAP canal above Waddell Canal","cap","cap-siphon","04/13/00 00:00:00","04/01/00 00:00:00",1.9000000000000000e-02,1.1210000000000000e+00,1.6899999999999998e-02,5.4000000000000000e+01,5.8270000000000003e+01,3.3350000000000001e+01,2.0070000000000000e+01,9.3399999999999999e+00,,6.2770000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","04/13/00 00:00:00","04/01/00 00:00:00",1.7000000000000001e-02,1.3470000000000000e+00,1.2600000000000000e-02,5.9039999999999999e+01,5.0820000000000000e+01,2.5489999999999998e+01,2.1190000000000001e+01,1.3930000000000000e+01,,6.0609999999999999e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","04/13/00 00:00:00","04/01/00 00:00:00",1.7999999999999999e-02,1.2749999999999999e+00,1.4100000000000000e-02,5.6729999999999997e+01,5.6340000000000003e+01,1.9879999999999999e+01,1.4180000000000000e+01,8.5399999999999991e+00,,4.2590000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"R3","Waddell Canal","cap","waddell canal","04/13/00 00:00:00","04/01/00 00:00:00",1.4999999999999999e-02,1.0800000000000001e+00,1.3899999999999999e-02,6.2500000000000000e+01,5.7680000000000000e+01,1.8870000000000001e+01,1.2279999999999999e+01,5.9199999999999999e+00,,3.7070000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","04/15/00 00:00:00","04/01/00 00:00:00",1.4000000000000000e-02,1.0690000000000000e+00,1.3100000000000001e-02,6.6819999999999993e+01,5.6350000000000001e+01,1.7660000000000000e+01,1.1020000000000000e+01,4.8099999999999996e+00,,3.3479999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","04/15/00 00:00:00","04/01/00 00:00:00",1.4999999999999999e-02,1.0520000000000000e+00,1.4300000000000000e-02,6.3049999999999997e+01,5.5710000000000001e+01,2.8960000000000001e+01,1.9530000000000001e+01,9.8200000000000003e+00,,5.8320000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,"field duplicate",
53,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","04/13/00 00:00:00","04/01/00 00:00:00",1.7000000000000001e-02,6.9099999999999995e-01,2.4600000000000000e-02,6.3979999999999997e+01,7.1849999999999994e+01,3.2450000000000003e+01,1.6559999999999999e+01,5.1200000000000001e+00,,5.4130000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","04/13/00 00:00:00","04/01/00 00:00:00",1.6000000000000000e-02,8.0900000000000005e-01,1.9800000000000002e-02,5.1219999999999999e+01,4.6350000000000001e+01,2.7219999999999999e+01,1.9350000000000001e+01,1.0369999999999999e+01,,5.6939999999999998e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","04/13/00 00:00:00","04/01/00 00:00:00",1.4999999999999999e-02,8.4799999999999998e-01,1.7700000000000000e-02,5.4950000000000003e+01,4.2390000000000001e+01,1.9949999999999999e+01,1.4650000000000000e+01,8.4100000000000001e+00,,4.3009999999999998e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","04/13/00 00:00:00","04/01/00 00:00:00",2.1000000000000001e-02,6.5900000000000003e-01,3.1899999999999998e-02,4.1500000000000000e+01,5.5049999999999997e+01,2.9219999999999999e+01,2.1160000000000000e+01,1.1660000000000000e+01,,6.2030000000000001e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","04/14/00 00:00:00","04/01/00 00:00:00",1.9000000000000000e-02,1.4630000000000001e+00,1.2999999999999999e-02,6.3109999999999999e+01,4.5289999999999999e+01,3.4859999999999999e+01,3.0149999999999999e+01,2.1520000000000000e+01,8.9000000000000001e-01,8.7420000000000002e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","04/14/00 00:00:00","04/01/00 00:00:00",1.9000000000000000e-02,1.3560000000000001e+00,1.4000000000000000e-02,6.1770000000000003e+01,5.2520000000000003e+01,3.6450000000000003e+01,3.1399999999999999e+01,2.2109999999999999e+01,1.7300000000000000e+00,9.1689999999999998e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","04/14/00 00:00:00","04/01/00 00:00:00",2.1999999999999999e-02,1.2780000000000000e+00,1.7200000000000000e-02,5.6180000000000000e+01,5.2740000000000002e+01,3.0270000000000000e+01,2.6579999999999998e+01,1.9520000000000000e+01,1.1799999999999999e+00,7.7549999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,"field duplicate",
60,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","04/14/00 00:00:00","04/01/00 00:00:00",2.1999999999999999e-02,1.2280000000000000e+00,1.7899999999999999e-02,5.4920000000000002e+01,5.3409999999999997e+01,3.4829999999999998e+01,3.1520000000000000e+01,2.1949999999999999e+01,1.9099999999999999e+00,9.0209999999999994e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","04/14/00 00:00:00","04/01/00 00:00:00",2.0000000000000000e-02,1.1719999999999999e+00,1.7100000000000001e-02,5.7539999999999999e+01,5.1509999999999998e+01,2.2090000000000000e+01,2.1539999999999999e+01,1.7270000000000000e+01,1.5900000000000001e+00,6.2500000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"R11","CAP Canal at Cross-connect","cap","cap @ x con","04/14/00 00:00:00","04/01/00 00:00:00",1.4000000000000000e-02,1.0629999999999999e+00,1.3200000000000000e-02,6.5170000000000002e+01,5.4359999999999999e+01,3.1370000000000001e+01,2.1090000000000000e+01,1.1130000000000001e+01,,6.3590000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","04/14/00 00:00:00","04/01/00 00:00:00",1.4000000000000000e-02,1.0629999999999999e+00,1.3200000000000000e-02,6.5260000000000005e+01,4.8799999999999997e+01,1.9989999999999998e+01,2.0680000000000000e+01,1.7460000000000001e+01,,5.8119999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","04/14/00 00:00:00","04/01/00 00:00:00",1.2999999999999999e-02,1.0089999999999999e+00,1.2900000000000000e-02,6.8140000000000001e+01,5.8659999999999997e+01,1.6440000000000001e+01,1.4010000000000000e+01,9.3900000000000006e+00,,3.9840000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","04/15/00 00:00:00","04/01/00 00:00:00",1.4999999999999999e-02,1.3370000000000000e+00,1.1200000000000000e-02,6.4370000000000005e+01,4.0229999999999997e+01,2.9250000000000000e+01,2.4649999999999999e+01,1.6879999999999999e+01,,7.0790000000000006e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","04/15/00 00:00:00","04/01/00 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sample not taken, wtp shut-down"
67,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","04/15/00 00:00:00","04/01/00 00:00:00",1.4000000000000000e-02,1.0680000000000001e+00,1.3100000000000001e-02,6.5769999999999996e+01,4.9409999999999997e+01,2.2239999999999998e+01,1.8910000000000000e+01,1.3850000000000000e+01,,5.5000000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"R17","Deer Valley WTP treated water","srp","deer valley-treated","04/15/00 00:00:00","04/01/00 00:00:00",1.4999999999999999e-02,9.4599999999999995e-01,1.5900000000000001e-02,5.1460000000000001e+01,4.9060000000000002e+01,1.8219999999999999e+01,1.8960000000000001e+01,1.6050000000000001e+01,,5.3229999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","04/15/00 00:00:00","04/01/00 00:00:00",1.2999999999999999e-02,8.9200000000000002e-01,1.4600000000000000e-02,6.7010000000000005e+01,5.8700000000000003e+01,1.6109999999999999e+01,1.3020000000000000e+01,8.6500000000000004e+00,,3.7770000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"R19","Val Vista WTP treated water","srp","val vista-treated","04/15/00 00:00:00","04/01/00 00:00:00",1.2999999999999999e-02,1.0830000000000000e+00,1.2000000000000000e-02,6.7420000000000002e+01,5.0909999999999997e+01,2.1739999999999998e+01,1.8859999999999999e+01,1.3619999999999999e+01,,5.4219999999999999e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"R20","Verde River at Tangle","verde","verde abv horseshoe","04/30/00 00:00:00","04/01/00 00:00:00",1.0999999999999999e-02,5.2000000000000002e-01,2.1200000000000000e-02,5.3390000000000001e+01,4.5439999999999998e+01,1.9280000000000001e+01,1.7390000000000001e+01,1.1869999999999999e+01,,4.8549999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"R1","CAP canal above Waddell Canal","cap","cap-siphon","07/18/00 00:00:00","07/01/00 00:00:00",1.7649999999999999e-02,1.6545000000000001e+00,1.0699999999999999e-02,6.0159999999999997e+01,4.8439999999999998e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","07/18/00 00:00:00","07/01/00 00:00:00",1.7000000000000001e-02,1.7520000000000000e+00,9.7000000000000003e-03,5.9909999999999997e+01,4.6759999999999998e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","07/18/00 00:00:00","07/01/00 00:00:00",1.9000000000000000e-02,1.7030000000000001e+00,1.1200000000000000e-02,5.6320000000000000e+01,4.5590000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"R3","Waddell Canal","cap","waddell canal","07/18/00 00:00:00","07/01/00 00:00:00",1.2400000000000000e-02,1.5429999999999999e+00,8.0000000000000002e-03,7.0260000000000005e+01,4.7570000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","07/19/00 00:00:00","07/01/00 00:00:00",1.9900000000000001e-02,1.4424999999999999e+00,1.3800000000000000e-02,5.4250000000000000e+01,6.4659999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","07/19/00 00:00:00","07/01/00 00:00:00",1.9199999999999998e-02,1.4875000000000000e+00,1.2900000000000000e-02,5.6460000000000001e+01,5.5869999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","07/18/00 00:00:00","07/01/00 00:00:00",1.2500000000000001e-02,7.3650000000000004e-01,1.7000000000000001e-02,6.1659999999999997e+01,4.7619999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","07/18/00 00:00:00","07/01/00 00:00:00",1.8400000000000000e-02,1.0925000000000000e+00,1.6799999999999999e-02,4.6509999999999998e+01,4.5810000000000002e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","07/18/00 00:00:00","07/01/00 00:00:00",1.6549999999999999e-02,7.7149999999999996e-01,2.1499999999999998e-02,5.4159999999999997e+01,4.8009999999999998e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","07/18/00 00:00:00","07/01/00 00:00:00",1.6199999999999999e-02,7.9949999999999999e-01,2.0299999999999999e-02,5.4490000000000002e+01,4.9689999999999998e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","07/20/00 00:00:00","07/01/00 00:00:00",2.4850000000000001e-02,1.5195000000000001e+00,1.6400000000000001e-02,5.3640000000000001e+01,4.9420000000000002e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","07/20/00 00:00:00","07/01/00 00:00:00",2.2150000000000000e-02,1.6054999999999999e+00,1.3800000000000000e-02,5.9210000000000001e+01,4.8060000000000002e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi","07/20/00 00:00:00","07/01/00 00:00:00",2.3449999999999999e-02,1.5575000000000001e+00,1.5100000000000001e-02,5.6170000000000002e+01,4.9030000000000001e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","07/20/00 00:00:00","07/01/00 00:00:00",1.9949999999999999e-02,1.5620000000000001e+00,1.2800000000000001e-02,6.6409999999999997e+01,5.4500000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","07/20/00 00:00:00","07/01/00 00:00:00",2.0549999999999999e-02,1.4165000000000001e+00,1.4500000000000001e-02,6.0560000000000002e+01,4.9549999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/20/00 00:00:00","07/01/00 00:00:00",1.7950000000000001e-02,1.5080000000000000e+00,1.1900000000000001e-02,5.8740000000000002e+01,4.9070000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/20/00 00:00:00","07/01/00 00:00:00",1.9000000000000000e-02,1.3540000000000001e+00,1.4000000000000000e-02,6.3320000000000000e+01,5.0729999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/20/00 00:00:00","07/01/00 00:00:00",1.7899999999999999e-02,1.3590000000000000e+00,1.3200000000000000e-02,6.5109999999999999e+01,5.1380000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","07/19/00 00:00:00","07/01/00 00:00:00",1.9550000000000001e-02,1.4935000000000000e+00,1.3100000000000001e-02,5.9189999999999998e+01,4.6869999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","07/19/00 00:00:00","07/01/00 00:00:00",1.9650000000000001e-02,1.4430000000000001e+00,1.3599999999999999e-02,2.9059999999999999e+01,4.3229999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","07/19/00 00:00:00","07/01/00 00:00:00",1.3190000000000000e-02,1.3534999999999999e+00,9.7000000000000003e-03,7.3250000000000000e+01,5.2289999999999999e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"R17","Deer Valley WTP treated water","srp","deer valley-treated","07/19/00 00:00:00","07/01/00 00:00:00",2.0000000000000000e-02,1.3725000000000001e+00,1.4600000000000000e-02,5.2490000000000002e+01,4.7630000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","07/19/00 00:00:00","07/01/00 00:00:00",1.8499999999999999e-02,1.3314999999999999e+00,1.3899999999999999e-02,6.1219999999999999e+01,5.1409999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"R19","Val Vista WTP treated water","srp","val vista-treated","07/19/00 00:00:00","07/01/00 00:00:00",2.0600000000000000e-02,1.3205000000000000e+00,1.5599999999999999e-02,4.9140000000000001e+01,4.8049999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"R20","Verde River at Tangle","verde","verde abv horseshoe","07/30/00 00:00:00","07/01/00 00:00:00",1.1550000000000000e-02,6.2800000000000000e-01,1.8400000000000000e-02,6.3909999999999997e+01,4.4280000000000001e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"R1","CAP canal above Waddell Canal","cap","cap-siphon","10/17/00 00:00:00","10/01/00 00:00:00",1.5599999999999999e-02,1.1899999999999999e+00,1.3110000000000000e-02,6.2299999999999997e+01,5.9200000000000003e+01,4.2000000000000000e+01,3.0100000000000001e+01,1.7899999999999999e+01,6.9999999999999996e-01,9.0700000000000003e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1500000000000000e+01,7.5999999999999996e+00,7.7999999999999998e+00,2.8999999999999999e+00,6.2000000000000002e+00,2.5000000000000000e+00,0.0000000000000000e+00,2.2199999999999999e+01,3.8500000000000000e+01,1.1100000000000000e+02,,,,,,,,,,,,,,
98,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","10/17/00 00:00:00","10/01/00 00:00:00",1.6500000000000001e-02,1.3350000000000000e+00,1.2359999999999999e-02,5.8799999999999997e+01,5.4100000000000001e+01,2.7899999999999999e+01,3.2500000000000000e+01,4.6200000000000003e+01,9.1999999999999993e+00,1.1580000000000000e+02,0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+00,3.7000000000000002e+00,8.5999999999999996e+00,5.9000000000000004e+00,9.5999999999999996e+00,3.6000000000000001e+00,4.2000000000000002e+00,2.2500000000000000e+01,4.4600000000000001e+01,1.0900000000000000e+02,,,,,,,,,,,,,,
99,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","10/17/00 00:00:00","10/01/00 00:00:00",1.9000000000000000e-02,1.6519999999999999e+00,1.1500000000000000e-02,5.3100000000000001e+01,4.5299999999999997e+01,1.7300000000000001e+01,1.9500000000000000e+01,2.2899999999999999e+01,9.0000000000000000e+00,6.8700000000000003e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.7999999999999998e+00,1.8000000000000000e+00,6.2999999999999998e+00,5.0999999999999996e+00,7.5000000000000000e+00,2.7000000000000002e+00,3.2999999999999998e+00,1.6199999999999999e+01,3.1500000000000000e+01,8.1000000000000000e+01,,,,,,,,,,,,,,
100,"R3","Waddell Canal","cap","waddell canal","10/17/00 00:00:00","10/01/00 00:00:00",1.4999999999999999e-02,1.4039999999999999e+00,1.0680000000000000e-02,6.2700000000000003e+01,5.2799999999999997e+01,2.1500000000000000e+01,2.6000000000000000e+01,2.7100000000000001e+01,7.9000000000000004e+00,8.2500000000000000e+01,0.0000000000000000e+00,1.2000000000000000e+00,7.0999999999999996e+00,3.1000000000000001e+00,8.3000000000000007e+00,5.5000000000000000e+00,9.6999999999999993e+00,3.7000000000000002e+00,3.5000000000000000e+00,2.0899999999999999e+01,4.2100000000000001e+01,9.0000000000000000e+01,,,,,,,,,,,,,,
122,"R1","CAP canal above Waddell Canal","cap","cap-siphon","01/16/01 00:00:00","01/01/01 00:00:00",1.1950000000000001e-02,1.3605000000000000e+00,8.7799999999999996e-03,7.1200000000000003e+01,5.0500000000000000e+01,2.9500000000000000e+01,2.0699999999999999e+01,1.2199999999999999e+01,,6.2399999999999999e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.9000000000000004e+00,8.1999999999999993e+00,6.2999999999999998e+00,2.5000000000000000e+00,2.7999999999999998e+00,1.5000000000000000e+00,0.0000000000000000e+00,1.8699999999999999e+01,3.1199999999999999e+01,8.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.9000000000000004e+00,8.1999999999999993e+00,6.2999999999999998e+00,2.5000000000000000e+00,2.7999999999999998e+00,1.5000000000000000e+00,0.0000000000000000e+00,1.8699999999999999e+01,3.1199999999999999e+01,8.1000000000000000e+01,,
123,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/16/01 00:00:00","01/01/01 00:00:00",1.2500000000000001e-02,1.2080000000000000e+00,1.0350000000000000e-02,7.1400000000000006e+01,6.0299999999999997e+01,2.9899999999999999e+01,2.2600000000000001e+01,1.4900000000000000e+01,,6.7400000000000006e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,7.5000000000000000e+00,6.7000000000000002e+00,3.0000000000000000e+00,3.0000000000000000e+00,1.6000000000000001e+00,0.0000000000000000e+00,1.9699999999999999e+01,3.1800000000000001e+01,8.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,7.5000000000000000e+00,6.7000000000000002e+00,3.0000000000000000e+00,3.0000000000000000e+00,1.6000000000000001e+00,0.0000000000000000e+00,1.9699999999999999e+01,3.1800000000000001e+01,8.5000000000000000e+01,,
124,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/16/01 00:00:00","01/01/01 00:00:00",1.3400000000000000e-02,1.2595000000000001e+00,1.0640000000000000e-02,6.8400000000000006e+01,5.8100000000000001e+01,3.2399999999999999e+01,2.3000000000000000e+01,1.4900000000000000e+01,,7.0299999999999997e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.0000000000000000e+00,6.5000000000000000e+00,2.7000000000000002e+00,2.8999999999999999e+00,1.6000000000000001e+00,0.0000000000000000e+00,1.9199999999999999e+01,3.1699999999999999e+01,7.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.0000000000000000e+00,6.5000000000000000e+00,2.7000000000000002e+00,2.8999999999999999e+00,1.6000000000000001e+00,0.0000000000000000e+00,1.9199999999999999e+01,3.1699999999999999e+01,7.9000000000000000e+01,,
125,"R3","Waddell Canal","cap","waddell canal","01/16/01 00:00:00","01/01/01 00:00:00",1.1900000000000001e-02,1.7695000000000001e+00,6.7299999999999999e-03,7.0700000000000003e+01,3.9299999999999997e+01,3.0500000000000000e+01,2.1000000000000000e+01,1.2300000000000001e+01,,6.3899999999999999e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.6999999999999993e+00,7.7999999999999998e+00,6.0000000000000000e+00,2.3999999999999999e+00,2.5000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,1.8100000000000001e+01,2.9899999999999999e+01,7.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.6999999999999993e+00,7.7999999999999998e+00,6.0000000000000000e+00,2.3999999999999999e+00,2.5000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,1.8100000000000001e+01,2.9899999999999999e+01,7.7000000000000000e+01,,
146,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/29/01 00:00:00","01/01/01 00:00:00",6.6000000000000000e-03,3.8000000000000000e-01,1.7370000000000000e-02,6.4700000000000003e+01,5.0600000000000001e+01,1.3500000000000000e+01,1.7300000000000001e+01,1.7974499999999999e+01,1.3000000000000000e+00,5.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.8000000000000007e+00,1.2000000000000000e+01,1.8000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1600000000000000e+01,2.3600000000000001e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,9.6999999999999993e+00,5.2999999999999998e+00,1.6000000000000001e+00,0.0000000000000000e+00,1.8999999999999999e+00,0.0000000000000000e+00,1.9899999999999999e+01,3.1500000000000000e+01,5.5000000000000000e+01,,
