ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,E coli(colonies per 100mL),Coliform(colonies per 100mL),Mycobacterium(colonies per 100mL),Comments,F11,F12,F13,F14,F15,F16
1039,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","6/4/2018","9","848","2",,,,,,,
1040,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","7/2/2018","28","1000","13","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1041,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","7/2/2018","27","736","267",,,,,,,
1042,"R11","CAP Canal at Cross-connect","cap","cap @ x con","7/2/2018","11","776","0",,,,,,,
1043,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","7/2/2018","18","1016","18",,,,,,,
1044,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","7/2/2018","36","960","3",,,,,,,
1045,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","7/2/2018","0","1000","34",,,,,,,
1046,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","7/2/2018","20","648","7",,,,,,,
379,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","6/2/2014","21","530",,"TNTC = Too Numerous to Count",,,,,,
380,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","6/2/2014","54","320",,"NCDC = Not Countable Due to Contamination",,,,,,
381,"R11","CAP Canal at Cross-connect","cap","cap @ x con","6/2/2014","13","93",,"ND = Not Detected",,,,,,
383,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","6/2/2014","34","520",,"CM 1046 Brilliance Media",,,,,,
385,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","6/2/2014","15","556",,,,,,,,
386,"R3","Waddell Canal","cap","waddell canal","6/2/2014","5","56",,"All samples incubated at 32 Celsius for 24 hours, highlighted cells counted quarter of plates and multiplied by 4",,,,,,
387,"R25","verde river at beeline highway","verde","verde @ beeline","6/2/2014","19","340",,,,,,,,
388,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","6/2/2014","35","536",,,,,,,,
