ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),Field1,peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
3586,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,3/15/2005,3/15/2005,,,,,,,,,,,,,
3587,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/15/2005,3/15/2005,,,,,,,,,,,,,
3588,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,3/15/2005,3/15/2005,,,,,,,,,,,,,
3589,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,3/15/2005,3/15/2005,,,,,,,,,,,,,
3590,R3,Waddell Canal,cap,waddell canal,4/12/2005,4/12/2005,,,2.9,0.061,2.1,,,,,,,,
3591,UH In,Union Hills Inlet,cap,Union Hills Inlet,4/12/2005,4/12/2005,,,2.91,0.0554,1.9,,,,,,,,
3592,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,4/12/2005,4/12/2005,,,2.29,0.0253,1.1,,,,,,,,
3593,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/12/2005,4/12/2005,,,,,,,,,,,,,
3594,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,4/12/2005,4/12/2005,,,4.64,0.1563,3.4,,,,,,,,
3595,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/12/2005,4/12/2005,,,4.77,0.1526,3.2,,,,,,,,
3596,R19,Val Vista WTP treated water,srp,val vista-treated,4/12/2005,4/12/2005,,,3.28,0.0667,2,,,,,,,,
3597,HTC,Head of the Tempe Canal,tempe,head of tempe canal,4/12/2005,4/12/2005,,,4.79,0.1645,3.4,,,,,,,,
3598,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/12/2005,4/12/2005,,,,,,,,,,,,,
3599,SPT Out,Tempe's South Plant treated water,tempe,STP Out,4/12/2005,4/12/2005,,,,,,,,,,,,,
3600,R25,verde river at beeline highway,verde,verde @ beeline,4/12/2005,4/12/2005,,,3.87,0.1751,4.5,,,,,,,,
3601,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/12/2005,4/12/2005,,,5.36,0.151,2.8,,,,,,,,
3602,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/12/2005,4/12/2005,,,4.9,0.1533,3.1,,,,,,,,
3603,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/12/2005,4/12/2005,,,4.87,0.153,3.1,,,,,,,,
3604,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/12/2005,4/12/2005,,,2.03,0.1651,8.1,,,,,,,,
3605,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/12/2005,4/12/2005,,,3.08,0.0545,1.8,,,,,,,,
3606,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/12/2005,4/12/2005,,,4.76,0.1678,3.5,,,,,,,,
3607,R17,Deer Valley WTP treated water,srp,deer valley-treated,4/12/2005,4/12/2005,,,3.1,0.0643,2.1,,,,,,,,
3608,Green In,Greenway WTP Inlet,srp,Green In,4/12/2005,4/12/2005,,,4.73,0.1576,3.3,,,,,,,,
3609,Green Out,Greenway WTP Outlet,srp,Green Out,4/12/2005,4/12/2005,,,3.94,0.0645,1.6,,,,,,,,
3610,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,4/12/2005,4/12/2005,,,3.36,0.1653,4.9,,,,,,,,
3611,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,4/12/2005,4/12/2005,,,4.23,0.1031,2.4,,,,,,,,
3612,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/12/2005,4/12/2005,,,4.93,0.1206,2.4,,,,,,,,
3613,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/12/2005,4/12/2005,,,4.12,0.0945,2.3,,,,,,,,
3614,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/12/2005,4/12/2005,,,5.37,0.2006,3.7,,,,,,,,
3615,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/12/2005,4/12/2005,,,5.28,0.2782,5.3,,,,,,,,
3616,R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/12/2005,4/12/2005,,,6.12,0.1594,2.6,,,,,,,,
3617,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,4/12/2005,4/12/2005,,,5.62,0.1497,2.7,,,,,,,,
3618,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/12/2005,4/12/2005,,,5.83,0.1622,2.8,,,,,,,,
3619,R20,Verde River at Tangle,verde,verde abv horseshoe,4/12/2005,4/12/2005,,,5.22,0.1416,2.7,,,,,,,,
3620,Havasu 1,Havasu lake Sample,,Havasu 1,4/12/2005,4/12/2005,,,2.3,0.0396,1.7,,,,,,,,
3621,Havasu 2,Havasu lake Sample,,Havasu 2,4/12/2005,4/12/2005,,,,,,,,,,,,,
3622,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,4/12/2005,4/12/2005,,,,,,,,,,,,,
3623,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/12/2005,4/12/2005,,,5.03,0.1633,3.2,,,,,,,,
3624,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/12/2005,4/12/2005,,,5.09,0.1634,3.2,,,,,,,,
3625,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/12/2005,4/12/2005,,,4.96,0.1545,3.1,,,,,,,,
3626,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,4/12/2005,4/12/2005,,,3.67,0.1582,4.3,,,,,,,,
3627,R1,CAP canal above Waddell Canal,cap,cap-siphon,4/12/2005,4/12/2005,,,,,,,,,,,,,
3628,R4,Cap Canal at 7th St.,cap,cap @ 7th st,4/12/2005,4/12/2005,,,,,,,,,,,,,
3629,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,4/12/2005,4/12/2005,,,,,,,,,,,,,
3630,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,4/12/2005,4/12/2005,,,,,,,,,,,,,
3631,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/12/2005,4/12/2005,,,,,,,,,,,,,
3632,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/12/2005,4/12/2005,,,,,,,,,,,,,
3633,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,4/12/2005,4/12/2005,,,,,,,,,,,,,
3634,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,4/12/2005,4/12/2005,,,,,,,,,,,,,
3635,R3,Waddell Canal,cap,waddell canal,5/17/2005,5/17/2005,,,2.71,0.0363,1.3,,,,,,,,
3636,UH In,Union Hills Inlet,cap,Union Hills Inlet,5/17/2005,5/17/2005,,,2.97,0.0383,1.3,,,,,,,,
3637,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,5/17/2005,5/17/2005,,,2.5,0.0204,0.8,,,,,,,,
3638,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/17/2005,5/17/2005,,,3.04,0.0395,1.3,,,,,,,,
3639,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,5/17/2005,5/17/2005,,,4.4,0.1668,3.8,,,,,,,,
3640,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/17/2005,5/17/2005,,,4.41,0.1851,4.2,,,,,,,,
3641,R19,Val Vista WTP treated water,srp,val vista-treated,5/17/2005,5/17/2005,,,3.23,0.0587,1.8,,,,,,,,
3642,HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/17/2005,5/17/2005,,,4.62,0.1813,3.9,,,,,,,,
3643,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,5/17/2005,5/17/2005,,,4.42,0.1983,4.5,,,,,,,,
3644,SPT Out,Tempe's South Plant treated water,tempe,STP Out,5/17/2005,5/17/2005,,,3.5,0.0677,1.9,,,,,,,,
3645,R25,verde river at beeline highway,verde,verde @ beeline,5/17/2005,5/17/2005,,,3.93,0.3022,7.7,,,,,,,,
3646,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/17/2005,5/17/2005,,,4.64,0.1274,2.7,,,,,,,,
3647,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/17/2005,5/17/2005,,,4.6,0.1891,4.1,,,,,,,,
3648,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/17/2005,5/17/2005,,,5.27,0.2312,4.4,,,,,,,,
3649,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/17/2005,5/17/2005,,,4.42,0.1809,4.1,,,,,,,,
3650,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/17/2005,5/17/2005,,,3.16,0.0528,1.7,,,,,,,,
3651,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/17/2005,5/17/2005,,,4.39,0.1643,3.7,,,,,,,,
3652,R17,Deer Valley WTP treated water,srp,deer valley-treated,5/17/2005,5/17/2005,,,2.73,0.0527,1.9,,,,,,,,
3653,Green In,Greenway WTP Inlet,srp,Green In,5/17/2005,5/17/2005,,,4.31,0.146,3.4,,,,,,,,
3654,Green Out,Greenway WTP Outlet,srp,Green Out,5/17/2005,5/17/2005,,,3.29,0.0479,1.5,,,,,,,,
3655,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/17/2005,5/17/2005,,,4.32,0.1634,3.8,,,,,,,,
3656,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/17/2005,5/17/2005,,,3.5,0.0856,2.4,,,,,,,,
3657,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/17/2005,5/17/2005,,,4.08,0.1078,2.6,,,,,,,,
3658,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/17/2005,5/17/2005,,,3.44,0.0987,2.9,,,,,,,,
3659,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/17/2005,5/17/2005,,,3.97,0.1616,4.1,,,,,,,,
3660,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/17/2005,5/17/2005,,,4.53,0.2695,6,,,,,,,,
3661,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/17/2005,5/17/2005,,,5.67,0.1427,2.5,,,,,,,,
3662,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,5/17/2005,5/17/2005,,,5.77,0.1414,2.4,,,,,,,,
3663,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/17/2005,5/17/2005,,,4.7,0.1337,2.8,,,,,,,,
3664,R20,Verde River at Tangle,verde,verde abv horseshoe,5/17/2005,5/17/2005,,,3.06,0.0497,1.6,,,,,,,,
3665,Havasu 1,Havasu lake Sample,,Havasu 1,5/17/2005,5/17/2005,,,2.45,0.043,1.8,,,,,,,,
3666,Havasu 2,Havasu lake Sample,,Havasu 2,5/17/2005,5/17/2005,,,,,,,,,,,,,
3667,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,5/17/2005,5/17/2005,,,,,,,,,,,,,
3668,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/17/2005,5/17/2005,,,3.98,0.1626,4.1,,,,,,,,
3669,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/17/2005,5/17/2005,,,3.65,0.1664,4.6,,,,,,,,
3670,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/17/2005,5/17/2005,,,3.88,0.1378,3.5,,,,,,,,
3671,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/17/2005,5/17/2005,,,3.95,0.1696,4.3,,,,,,,,
3672,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/17/2005,5/17/2005,,,,,,,,,,,,,
3673,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/17/2005,5/17/2005,,,,,,,,,,,,,
3674,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/17/2005,5/17/2005,,,,,,,,,,,,,
3675,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/17/2005,5/17/2005,,,,,,,,,,,,,
3676,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/17/2005,5/17/2005,,,,,,,,,,,,,
3677,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/17/2005,5/17/2005,,,,,,,,,,,,,
3678,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/17/2005,5/17/2005,,,,,,,,,,,,,
3679,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/17/2005,5/17/2005,,,,,,,,,,,,,
3680,R3,Waddell Canal,cap,waddell canal,6/14/2005,6/14/2005,,,4.33,0.0964,2.2,,,,,,,,
3681,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/14/2005,6/14/2005,,,4.55,0.0726,1.6,,,,,,,,
3682,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/14/2005,6/14/2005,,,3.82,0.0284,0.7,,,,,,,,
3683,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/14/2005,6/14/2005,,,4.75,0.068,1.4,,,,,,,,
3684,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,6/14/2005,6/14/2005,,,4.56,0.1327,2.9,,,,,,,,
3685,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/14/2005,6/14/2005,,,4.66,0.1259,2.7,,,,,,,,
3686,R19,Val Vista WTP treated water,srp,val vista-treated,6/14/2005,6/14/2005,,,3.59,0.0494,1.4,,,,,,,,
3687,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/14/2005,6/14/2005,,,4.74,0.126,2.7,,,,,,,,
3688,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/14/2005,6/14/2005,,,5.05,0.126,2.5,,,,,,,,
3689,SPT Out,Tempe's South Plant treated water,tempe,STP Out,6/14/2005,6/14/2005,,,4.35,0.0631,1.5,,,,,,,,
3690,R25,verde river at beeline highway,verde,verde @ beeline,6/14/2005,6/14/2005,,,4.63,0.186,4,,,,,,,,
3691,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/14/2005,6/14/2005,,,5.26,0.111,2.1,,,,,,,,
3692,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/14/2005,6/14/2005,,,4.75,0.1439,3,,,,,,,,
3693,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/14/2005,6/14/2005,,,5.96,0.1491,2.5,,,,,,,,
3694,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/14/2005,6/14/2005,,,5.22,0.1777,3.4,,,,,,,,
3695,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/14/2005,6/14/2005,,,5.26,0.0566,1.1,,,,,,,,
3696,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/14/2005,6/14/2005,,,4.87,0.134,2.7,,,,,,,,
3697,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/14/2005,6/14/2005,,,3.37,0.0507,1.5,,,,,,,,
3698,Green In,Greenway WTP Inlet,srp,Green In,6/14/2005,6/14/2005,,,4.96,0.1382,2.8,,,,,,,,
3699,Green Out,Greenway WTP Outlet,srp,Green Out,6/14/2005,6/14/2005,,,3.97,0.037,0.9,,,,,,,,
3700,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/14/2005,6/14/2005,,,4.9,0.1326,2.7,,,,,,,,
3701,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/14/2005,6/14/2005,,,4.3,0.0807,1.9,,,,,,,,
3702,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/14/2005,6/14/2005,,,5.77,0.0992,1.7,,,,,,,,
3703,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/14/2005,6/14/2005,,,4.59,0.0973,2.1,,,,,,,,
3704,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/14/2005,6/14/2005,,,5.58,0.1419,2.5,,,,,,,,
3705,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/14/2005,6/14/2005,,,5.1,0.1485,2.9,,,,,,,,
3706,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/14/2005,6/14/2005,,,8.76,0.1276,1.5,,,,,,,,
3707,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,6/14/2005,6/14/2005,,,7.33,0.1257,1.7,,,,,,,,
3708,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/14/2005,6/14/2005,,,7.53,0.1198,1.6,,,,,,,,
3709,R20,Verde River at Tangle,verde,verde abv horseshoe,6/14/2005,6/14/2005,,,,,,,,,,,,,
3710,Havasu 1,Havasu lake Sample,,Havasu 1,6/14/2005,6/14/2005,,,4.04,0.0395,1,,,,,,,,
3711,Havasu 2,Havasu lake Sample,,Havasu 2,6/14/2005,6/14/2005,,,,,,,,,,,,,
3712,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,6/14/2005,6/14/2005,,,,,,,,,,,,,
3713,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/14/2005,6/14/2005,,,5.23,0.1371,2.6,,,,,,,,
3714,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/14/2005,6/14/2005,,,5.03,0.132,2.6,,,,,,,,
3715,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/14/2005,6/14/2005,,,4.9,0.131,2.7,,,,,,,,
3716,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/14/2005,6/14/2005,,,6.89,0.1311,1.9,,,,,,,,
3717,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/14/2005,6/14/2005,,,,,,,,,,,,,
3718,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/14/2005,6/14/2005,,,,,,,,,,,,,
3719,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/14/2005,6/14/2005,,,,,,,,,,,,,
3720,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/14/2005,6/14/2005,,,,,,,,,,,,,
3721,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/14/2005,6/14/2005,,,,,,,,,,,,,
3722,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/14/2005,6/14/2005,,,,,,,,,,,,,
3723,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,6/14/2005,6/14/2005,,,,,,,,,,,,,
3724,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,6/14/2005,6/14/2005,,,,,,,,,,,,,
3725,R3,Waddell Canal,cap,waddell canal,7/12/2005,7/12/2005,,,4.12,0.094,2.3,,,,,,,,
3726,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/12/2005,7/12/2005,,,3.85,0.0724,1.9,,,,,,,,
3727,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/12/2005,7/12/2005,,,3.12,0.0265,0.8,,,,,,,,
3728,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/12/2005,7/12/2005,,,3.68,0.0728,2,,,,,,,,
3729,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/12/2005,7/12/2005,,,4.53,0.1117,2.5,,,,,,,,
3730,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/12/2005,7/12/2005,,,5.23,0.1155,2.2,,,,,,,,
3731,R19,Val Vista WTP treated water,srp,val vista-treated,7/12/2005,7/12/2005,,,3.06,0.0485,1.6,,,,,,,,
3732,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/12/2005,7/12/2005,,,4.62,0.1104,2.4,,,,,,,,
3733,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/12/2005,7/12/2005,,,4.41,0.1049,2.4,,,,,,,,
3734,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/12/2005,7/12/2005,,,4.38,0.0571,1.3,,,,,,,,
3735,R25,verde river at beeline highway,verde,verde @ beeline,7/12/2005,7/12/2005,,,4.2,0.1218,2.9,,,,,,,,
3736,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/12/2005,7/12/2005,,,5.35,0.1155,2.2,,,,,,,,
3737,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/12/2005,7/12/2005,,,4.77,0.1155,2.4,,,,,,,,
3738,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/12/2005,7/12/2005,,,4.57,0.1099,2.4,,,,,,,,
3739,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/12/2005,7/12/2005,,,4.71,0.1173,2.5,,,,,,,,
3740,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/12/2005,7/12/2005,,,3.25,0.0519,1.6,,,,,,,,
3741,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/12/2005,7/12/2005,,,4.77,0.1167,2.4,,,,,,,,
3742,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/12/2005,7/12/2005,,,3.65,0.0534,1.5,,,,,,,,
3743,Green In,Greenway WTP Inlet,srp,Green In,7/12/2005,7/12/2005,,,5.34,0.1186,2.2,,,,,,,,
3744,Green Out,Greenway WTP Outlet,srp,Green Out,7/12/2005,7/12/2005,,,3.85,0.0422,1.1,,,,,,,,
3745,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/12/2005,7/12/2005,,,4.75,0.1139,2.4,,,,,,,,
3746,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/12/2005,7/12/2005,,,4.09,0.075,1.8,,,,,,,,
3747,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/12/2005,7/12/2005,,,5.79,0.0966,1.7,,,,,,,,
3748,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/12/2005,7/12/2005,,,5.13,0.0958,1.9,,,,,,,,
3749,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/12/2005,7/12/2005,,,6.16,0.1239,2,,,,,,,,
3750,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/12/2005,7/12/2005,,,5.61,0.1306,2.3,,,,,,,,
3751,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/12/2005,7/12/2005,,,5.9,0.1225,2.1,,,,,,,,
3752,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,7/12/2005,7/12/2005,,,5.61,0.1222,2.2,,,,,,,,
3753,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/12/2005,7/12/2005,,,5.8,0.1208,2.1,,,,,,,,
3754,R20,Verde River at Tangle,verde,verde abv horseshoe,7/12/2005,7/12/2005,,,2.44,0.053,2.2,,,,,,,,
3755,Havasu 1,Havasu lake Sample,,Havasu 1,7/12/2005,7/12/2005,,,3,0.0371,1.2,,,,,,,,
3756,Havasu 2,Havasu lake Sample,,Havasu 2,7/12/2005,7/12/2005,,,,,,,,,,,,,
3757,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,7/12/2005,7/12/2005,,,,,,,,,,,,,
3758,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/12/2005,7/12/2005,,,4.8,0.116,2.4,,,,,,,,
3759,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/12/2005,7/12/2005,,,4.7,0.1119,2.4,,,,,,,,
3760,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/12/2005,7/12/2005,,,4.86,0.1122,2.3,,,,,,,,
3761,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/12/2005,7/12/2005,,,4.59,0.1189,2.6,,,,,,,,
3762,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/12/2005,7/12/2005,,,,,,,,,,,,,
3763,R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/12/2005,7/12/2005,,,,,,,,,,,,,
3764,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,7/12/2005,7/12/2005,,,,,,,,,,,,,
3765,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/12/2005,7/12/2005,,,,,,,,,,,,,
3766,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/12/2005,7/12/2005,,,,,,,,,,,,,
3767,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/12/2005,7/12/2005,,,,,,,,,,,,,
3768,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/12/2005,7/12/2005,,,,,,,,,,,,,
3769,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/12/2005,7/12/2005,,,,,,,,,,,,,
4073,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/13/2006,2/13/2006,,,2.67,0.0785,2.9,,,,,,,,
4074,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/13/2006,2/13/2006,,,2.84,0.0732,2.6,,,,,,,,
4075,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/13/2006,2/13/2006,,,2.95,0.0719,2.4,,,,,,,,
4076,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2/13/2006,2/13/2006,,,2.68,0.071,2.6,,,,,,,,
4077,R1,CAP canal above Waddell Canal,cap,cap-siphon,2/13/2006,2/13/2006,,,,,,,,,,,,,
4078,R4,Cap Canal at 7th St.,cap,cap @ 7th st,2/13/2006,2/13/2006,,,,,,,,,,,,,
4079,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2/13/2006,2/13/2006,,,,,,,,,,,,,
4080,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2/13/2006,2/13/2006,,,,,,,,,,,,,
4081,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2/13/2006,2/13/2006,,,,,,,,,,,,,
4082,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2/13/2006,2/13/2006,,,,,,,,,,,,,
4083,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2/13/2006,2/13/2006,,,,,,,,,,,,,
4084,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2/13/2006,2/13/2006,,,,,,,,,,,,,
4085,R3,Waddell Canal,cap,waddell canal,3/13/2006,3/13/2006,,,3.24,0.0379,1.2,,,,,,,,
4086,UH In,Union Hills Inlet,cap,Union Hills Inlet,3/13/2006,3/13/2006,,,3.28,0.0381,1.2,,,,,,,,
4087,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,3/13/2006,3/13/2006,,,2.88,0.0215,0.7,,,,,,,,
4088,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/13/2006,3/13/2006,,,3.24,0.0369,1.1,,,,,,,,
4089,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,3/13/2006,3/13/2006,,,4.22,0.0932,2.2,,,,,,,,
4090,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/13/2006,3/13/2006,,,4.22,0.0922,2.2,,,,,,,,
4091,R19,Val Vista WTP treated water,srp,val vista-treated,3/13/2006,3/13/2006,,,3.12,0.0401,1.3,,,,,,,,
4092,,Val Vista West WTP treated water,srp,val vista west-treated,3/13/2006,3/13/2006,,,3.23,0.0437,1.4,,,,,,,,
4093,HTC,Head of the Tempe Canal,tempe,head of tempe canal,3/13/2006,3/13/2006,,,4.11,0.0873,2.1,,,,,,,,
4094,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,3/13/2006,3/13/2006,,,3.88,0.0911,2.3,,,,,,,,
