ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
836,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/13/2006,6.2,
837,R17,Deer Valley WTP treated water,srp,deer valley-treated,3/13/2006,0,
838,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/13/2006,4.4,
839,R19,Val Vista WTP treated water,srp,val vista-treated,3/13/2006,0,
840,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/13/2006,4.5,
841,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/13/2006,4.7,
842,R25,verde river at beeline highway,verde,verde @ beeline,3/13/2006,9.0,
843,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,3/13/2006,2.8,
844,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,3/13/2006,3.0,
845,UH In,Union Hills Inlet,cap,Union Hills Inlet,3/13/2006,0,
846,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,3/13/2006,0.0,
847,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,3/13/2006,,
848,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,3/13/2006,,
849,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,3/13/2006,4.3,
850,HTC,Head of the Tempe Canal,tempe,head of tempe canal,3/13/2006,5.0,
851,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,3/13/2006,4.6,
852,SPT Out,Tempe's South Plant treated water,tempe,STP Out,3/13/2006,2.2,
853,Green In,Greenway WTP Inlet,srp,Green In,3/13/2006,5.3,
854,Green Out,Greenway WTP Outlet,srp,Green Out,3/13/2006,2.8,
855,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/13/2006,2.0,
856,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/13/2006,0.0,
857,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/13/2006,9.3,
858,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/13/2006,8.9,
859,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/13/2006,3.0,
860,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,3/13/2006,3.0,
861,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/13/2006,3.1,
862,R20,Verde River at Tangle,verde,verde abv horseshoe,3/13/2006,16.9,
863,Havasu 1,Havasu lake Sample,,Havasu 1,3/13/2006,0.0,
864,Havasu 2,Havasu lake Sample,,Havasu 2,3/13/2006,,
865,R3,Waddell Canal,cap,waddell canal,4/10/2006,0.0,
866,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/10/2006,4.7,
867,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/10/2006,2.0,
868,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/10/2006,5.9,
869,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/10/2006,0.0,
870,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/10/2006,,
871,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/10/2006,,
872,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/10/2006,5.0,
