attributeName,code,definition
cluster,tempe,"Tempe, AZ area canal"
cluster,verde,Verde River
site acronym,24th St-treated,24th St. Water Treatment Plant treated water
site acronym,Above Roosevelt,SRP above Roosevelt Lake
site acronym,Anthem In,Anthem WTP Inlet
site acronym,Anthem Out,Anthem WTP Treated
site acronym,az canal @ 16th st.,AZ Canal at 16th Street
site acronym,az canal @ 19 ave.,AZ Canal at 19th Avenue
site acronym,az canal @ 19th av.,AZ Canal at 19th Avenue
site acronym,az canal @ 24th St,AZ Canal at 24th Street
site acronym,az canal @ 32nd st.,AZ Canal at 32nd Street
site acronym,az canal @ 44th st.,AZ Canal at 44th Street
site acronym,az canal @ 48th st.,AZ Canal at 48th Street
site acronym,az canal @ 56th st.,AZ Canal at 56th Street
site acronym,az canal @ 7th av.,AZ Canal at 7th Avenue
site acronym,az canal @ central ave.,ZA Canal at Central Avenue
site acronym,az canal @ deer valley,AZ Canal - Inlet to Deer Valley WTP
site acronym,az canal @ hwy 87,AZ Canal at Highway 87
site acronym,az canal @ Mesa,metadata_not_provided
site acronym,az canal @ northern,metadata_not_provided
site acronym,az canal @ pima,AZ Canal at Pima Rd
site acronym,az canal @ scotts.,metadata_not_provided
site acronym,az canal @ squaw peak,AZ Canal - Inlet to Squaw Peak WTP
site acronym,az canal blw cap,AZ Canal below CAP Cross-connect
site acronym,az canal inflow,AZ Canal above CAP Cross-connect
site acronym,bartlett-epi,Bartlett Reservoir near outlet
site acronym,bartlett-hypo,Bartlett Reservoir near outlet
site acronym,cap-siphon,metadata_not_provided
site acronym,cap @ 7th st,Cap Canal at 7th St.
site acronym,cap @ 7th st dup,Cap Canal at 7th St. duplicate sample
site acronym,cap @ x con,CAP Canal at Cross-connect
site acronym,central & griswold,metadata_not_provided
site acronym,Chandler Inlet,Chandler WTP Inlet
site acronym,Chandler Treated,Chandler WTP Treated
site acronym,deer valley-treated,Deer Valley WTP treated water
site acronym,Glen In,Glendale WTP Inlet
site acronym,Glen out,Glendale WTP Treated
site acronym,Glen Out,Glendale WTP Treated
site acronym,Green In,Greenway WTP Inlet
site acronym,Green Out,Greenway WTP Treated
site acronym,Havasu 1,Lake Havasu Site 1
site acronym,Havasu 2,Lake Havasu Site 2
site acronym,head of tempe canal,Head of the Tempe Canal
site acronym,Head of the Consolidated Canal,Head of the Consolidated canal
site acronym,ISTB4,metadata_not_provided
site acronym,Middle of the Consolidated Canal,Middle of the Consolidated canal
site acronym,MTO,Mesa Canal Turnout
site acronym,North plant inlet,Tempe North WTP inlet
site acronym,north plant outlet,Tempe North WTP treated
site acronym,pleasant-epi,Lake Pleasant integrated sample
site acronym,pleasant-hypo,Lake Pleasant integrated sample
site acronym,s canal @ val vista,South Canal at Val Vista WTP
site acronym,saguaro-epi,Saguaro Lake Epilimnion
site acronym,saguaro-epi dup,Saguaro Lake Epilimnion duplicate sample
site acronym,saguaro-hypo,Saguaro Lake Hypolimnion
site acronym,salt abv saguaro,Salt River inlet to Saguaro Lake
site acronym,salt blw saguaro,Salt River below Saguaro (Blue Point Bridge)
site acronym,SGPS,Salt Gila Pump Station
site acronym,South canal below CAP,South Canal below CAP Cross-connect
site acronym,squaw peak-treated,Squaw Peak WTP treated water
site acronym,SRNR,Salt River Inlet Near Roosevelt Lake
site acronym,STP In,Tempe Canal - Inlet to Tempe's South Plant
site acronym,STP Out,Tempe's South Plant Treated water
site acronym,union hills-impound,union hills water treatment plant impoundment
site acronym,Union Hills Inlet,Union Hills WTP Inlet
site acronym,Union Hills Outlet,Union Hills WTP Treated
site acronym,val-vista west,Val Vista Water Treatment Plant Treated Water - West
site acronym,val vista-treated,Val Vista WTP treated water
site acronym,verde @ beeline,verde river at beeline highwy
site acronym,verde above horseshoe,Verde River at Tangle
site acronym,verde abv bartlett,Verde River btwn Horseshoe and Bartlett
site acronym,verde abv horseshoe,Verde River at Tangle
site acronym,verde blw barlett,Verde River below Bartlett Reservoir
site acronym,waddell canal,Waddell Canal
