"site number","site location","cluster","site acronym","date","sample type","MIB (ng/L) ASU","geosmin (ng/L) ASU","beta-cyclocitral (ng/L)","IPMP recovery (%)","MIB (ng/L) Phoenix","geosmin (ng/L) Phoenix","comments"
"R1","CAP canal above Waddell Canal","cap","cap-siphon",1999-11-16,NA,0,5.1,NA,NA,0,2,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",1999-11-16,NA,15,0,NA,NA,27,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",1999-11-16,NA,7.7,0,NA,NA,15,0,NA
"R3","Waddell Canal","cap","waddell canal",1999-11-16,NA,0,0,NA,NA,2,2,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",1999-11-16,NA,0,0,NA,NA,2,0,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",1999-11-16,NA,0,0,NA,NA,0,0,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",1999-11-16,NA,0,0,NA,NA,0,0,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",1999-11-16,NA,0,0,NA,NA,2,0,NA
"field_blank","field blank",NA,NA,1999-11-17,"field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,1999-11-17,"lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",1999-11-17,NA,13.7,0,NA,NA,23,5,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",1999-11-17,NA,8.6,0,NA,NA,22,5,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",1999-11-17,NA,17.9,6.4,NA,NA,19,5,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",1999-11-17,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",1999-11-17,NA,NA,NA,NA,NA,NA,NA,NA
"R18sediment","South Canal at Val Vista WTP","srp","s canal @ val vista",1999-11-17,"sediment sample",203,0,NA,NA,NA,NA,"sample from sediments of south canal, not cleaned"
"R18sediment","South Canal at Val Vista WTP","srp","s canal @ val vista",1999-11-17,"sediment sample",264,128,NA,NA,NA,NA,"sample from sediments of south canal, not cleaned"
"R19","Val Vista WTP treated water","srp","val vista-treated",1999-11-17,NA,NA,NA,NA,NA,NA,NA,"samples not taken, south canal shut down"
