ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,Secchi Disk (m),samples collected,sample type,comments
6.6970000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",4.7999999999999998e+00,2.0000000000000000e+01,8.9000000000000004e+00,,,,,
6.6980000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",6.7999999999999998e+00,2.0000000000000000e+01,8.9000000000000004e+00,,,,,
6.6990000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",8.4000000000000004e+00,2.0000000000000000e+01,8.8000000000000007e+00,,,,,
6.7000000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",1.0900000000000000e+01,2.0000000000000000e+01,8.6999999999999993e+00,,,,,
6.7010000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",1.2600000000000000e+01,2.0000000000000000e+01,8.6999999999999993e+00,,,,,
6.7020000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",1.4400000000000000e+01,1.9899999999999999e+01,8.5999999999999996e+00,,,,,
6.7030000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",1.6500000000000000e+01,1.9899999999999999e+01,8.4000000000000004e+00,,,,,
6.7040000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",1.6699999999999999e+01,1.9899999999999999e+01,8.1999999999999993e+00,,,,,
6.7050000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",1.8199999999999999e+01,1.9199999999999999e+01,7.0000000000000000e+00,,,,,
6.7060000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",2.0199999999999999e+01,1.8100000000000001e+01,6.2000000000000002e+00,,,,,
6.7070000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",2.2100000000000001e+01,1.7800000000000001e+01,5.7999999999999998e+00,,,,,
6.7080000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",2.4199999999999999e+01,1.7800000000000001e+01,5.4000000000000004e+00,,,,,
6.7090000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",2.7199999999999999e+01,1.7199999999999999e+01,4.7999999999999998e+00,,,,,
6.7100000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",2.8000000000000000e+01,1.7500000000000000e+01,4.2999999999999998e+00,,,,,
6.7110000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",3.0100000000000001e+01,1.7199999999999999e+01,3.7000000000000002e+00,,,,,
6.7120000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",3.2200000000000003e+01,1.7100000000000001e+01,2.7000000000000002e+00,,,,,
6.7130000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",3.4000000000000000e+01,1.6600000000000001e+01,1.3999999999999999e+00,,,,,
6.7140000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",3.5899999999999999e+01,1.5699999999999999e+01,1.0000000000000000e+00,,,,,
6.7150000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",3.7600000000000001e+01,1.5400000000000000e+01,1.0000000000000000e+00,,,,,
6.7160000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",3.9700000000000003e+01,1.5300000000000001e+01,1.1000000000000001e+00,,,,,
6.7170000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",4.1600000000000001e+01,1.5400000000000000e+01,1.2000000000000000e+00,,,,,
6.7180000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",4.3299999999999997e+01,1.5000000000000000e+01,1.7000000000000000e+00,,,,,
