ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
1012,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","08/14/06 00:00:00","3.4",
1013,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","08/14/06 00:00:00","4.6",
1014,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","08/14/06 00:00:00","4.4",
1015,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","08/14/06 00:00:00","0.0",
1016,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","08/14/06 00:00:00","5.3",
1017,"R17","Deer Valley WTP treated water","srp","deer valley-treated","08/14/06 00:00:00","0",
1018,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","08/14/06 00:00:00","4.3",
1019,"R19","Val Vista WTP treated water","srp","val vista-treated","08/14/06 00:00:00","0",
1020,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","08/14/06 00:00:00","5.2",
1021,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","08/14/06 00:00:00","4.7",
1022,"R25","verde river at beeline highway","verde","verde @ beeline","08/14/06 00:00:00","9.4",
1023,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","08/14/06 00:00:00","4.8",
1024,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","08/14/06 00:00:00","5.3",
1025,"UH In","Union Hills Inlet","cap","Union Hills Inlet","08/14/06 00:00:00","3.5",
1026,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","08/14/06 00:00:00","0.0",
1027,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","08/14/06 00:00:00","5.0",
764,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","01/17/06 00:00:00","4.6",
765,"R17","Deer Valley WTP treated water","srp","deer valley-treated","01/17/06 00:00:00","0.0",
766,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","01/17/06 00:00:00","6.5",
767,"R19","Val Vista WTP treated water","srp","val vista-treated","01/17/06 00:00:00","0.0",
768,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","01/17/06 00:00:00","3.7",
769,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","01/17/06 00:00:00","4.5",
770,"R25","verde river at beeline highway","verde","verde @ beeline","01/17/06 00:00:00","6.9",
771,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","01/17/06 00:00:00","4.6",
772,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","01/17/06 00:00:00","3.9",
773,"UH In","Union Hills Inlet","cap","Union Hills Inlet","01/17/06 00:00:00","0.0",
774,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","01/17/06 00:00:00","0.0",
775,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","01/17/06 00:00:00","4.8",
776,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","01/17/06 00:00:00","2.4",
777,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","01/17/06 00:00:00","5.8",
778,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","01/17/06 00:00:00","5.1",
779,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","01/17/06 00:00:00",,
780,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","01/17/06 00:00:00",,
781,"Green In","Greenway WTP Inlet","srp","Green In","01/17/06 00:00:00",,
782,"Green Out","Greenway WTP Outlet","srp","Green Out","01/17/06 00:00:00",,
783,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/17/06 00:00:00","3.0",
784,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/17/06 00:00:00","3.2",
785,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","01/17/06 00:00:00","9.4",
786,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","01/17/06 00:00:00","9.5",
787,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","01/17/06 00:00:00","3.8",
788,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","01/17/06 00:00:00","3.4",
789,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","01/17/06 00:00:00","3.8",
790,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/17/06 00:00:00","17.4",
791,"Havasu 1","Havasu lake Sample",,"Havasu 1","01/17/06 00:00:00","0.0",
792,"Havasu 2","Havasu lake Sample",,"Havasu 2","01/17/06 00:00:00",,
793,"R3","Waddell Canal","cap","waddell canal","02/13/06 00:00:00","0.0",
794,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/13/06 00:00:00","3.8",
795,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/13/06 00:00:00",,
796,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","02/13/06 00:00:00","10.3",
797,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","02/13/06 00:00:00","9.9",
798,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","02/13/06 00:00:00","11.0",
799,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","02/13/06 00:00:00","3.1",
800,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","02/13/06 00:00:00","9.2",
801,"R17","Deer Valley WTP treated water","srp","deer valley-treated","02/13/06 00:00:00","0.0",
802,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","02/13/06 00:00:00","10.2",
803,"R19","Val Vista WTP treated water","srp","val vista-treated","02/13/06 00:00:00","4.5",
804,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","02/13/06 00:00:00","10.6",
805,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","02/13/06 00:00:00","10.7",
806,"R25","verde river at beeline highway","verde","verde @ beeline","02/13/06 00:00:00","10.6",
807,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","02/13/06 00:00:00","10.3",
808,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","02/13/06 00:00:00","10.6",
809,"UH In","Union Hills Inlet","cap","Union Hills Inlet","02/13/06 00:00:00","0.0",
810,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","02/13/06 00:00:00","0.0",
811,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","02/13/06 00:00:00",,
812,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","02/13/06 00:00:00",,
813,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","02/13/06 00:00:00","9.9",
814,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","02/13/06 00:00:00","10.1",
815,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","02/13/06 00:00:00","10.3",
816,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","02/13/06 00:00:00","5.5",
817,"Green In","Greenway WTP Inlet","srp","Green In","02/13/06 00:00:00",,
818,"Green Out","Greenway WTP Outlet","srp","Green Out","02/13/06 00:00:00",,
819,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","02/13/06 00:00:00","3.0",
820,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","02/13/06 00:00:00","3.2",
821,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","02/13/06 00:00:00","10.2",
822,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","02/13/06 00:00:00","10.7",
823,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","02/13/06 00:00:00","3.8",
824,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","02/13/06 00:00:00","3.8",
825,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","02/13/06 00:00:00","4.1",
826,"R20","Verde River at Tangle","verde","verde abv horseshoe","02/13/06 00:00:00","17.1",
827,"Havasu 1","Havasu lake Sample",,"Havasu 1","02/13/06 00:00:00","0.0",
828,"Havasu 2","Havasu lake Sample",,"Havasu 2","02/13/06 00:00:00",,
829,"R3","Waddell Canal","cap","waddell canal","03/13/06 00:00:00","0.0",
830,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","03/13/06 00:00:00","3.6",
831,"R11","CAP Canal at Cross-connect","cap","cap @ x con","03/13/06 00:00:00","0.0",
832,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","03/13/06 00:00:00","3.9",
833,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","03/13/06 00:00:00","2.9",
834,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","03/13/06 00:00:00",,
835,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","03/13/06 00:00:00",,
836,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","03/13/06 00:00:00","6.2",
837,"R17","Deer Valley WTP treated water","srp","deer valley-treated","03/13/06 00:00:00","0",
838,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","03/13/06 00:00:00","4.4",
839,"R19","Val Vista WTP treated water","srp","val vista-treated","03/13/06 00:00:00","0",
840,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","03/13/06 00:00:00","4.5",
841,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","03/13/06 00:00:00","4.7",
842,"R25","verde river at beeline highway","verde","verde @ beeline","03/13/06 00:00:00","9.0",
843,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","03/13/06 00:00:00","2.8",
844,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","03/13/06 00:00:00","3.0",
845,"UH In","Union Hills Inlet","cap","Union Hills Inlet","03/13/06 00:00:00","0",
846,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","03/13/06 00:00:00","0.0",
847,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","03/13/06 00:00:00",,
848,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","03/13/06 00:00:00",,
849,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","03/13/06 00:00:00","4.3",
850,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","03/13/06 00:00:00","5.0",
851,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","03/13/06 00:00:00","4.6",
852,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","03/13/06 00:00:00","2.2",
853,"Green In","Greenway WTP Inlet","srp","Green In","03/13/06 00:00:00","5.3",
854,"Green Out","Greenway WTP Outlet","srp","Green Out","03/13/06 00:00:00","2.8",
855,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","03/13/06 00:00:00","2.0",
856,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","03/13/06 00:00:00","0.0",
857,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","03/13/06 00:00:00","9.3",
858,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","03/13/06 00:00:00","8.9",
859,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","03/13/06 00:00:00","3.0",
860,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","03/13/06 00:00:00","3.0",
861,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","03/13/06 00:00:00","3.1",
862,"R20","Verde River at Tangle","verde","verde abv horseshoe","03/13/06 00:00:00","16.9",
863,"Havasu 1","Havasu lake Sample",,"Havasu 1","03/13/06 00:00:00","0.0",
864,"Havasu 2","Havasu lake Sample",,"Havasu 2","03/13/06 00:00:00",,
865,"R3","Waddell Canal","cap","waddell canal","04/10/06 00:00:00","0.0",
866,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","04/10/06 00:00:00","4.7",
867,"R11","CAP Canal at Cross-connect","cap","cap @ x con","04/10/06 00:00:00","2.0",
868,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","04/10/06 00:00:00","5.9",
869,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","04/10/06 00:00:00","0.0",
870,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","04/10/06 00:00:00",,
871,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","04/10/06 00:00:00",,
872,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","04/10/06 00:00:00","5.0",
873,"R17","Deer Valley WTP treated water","srp","deer valley-treated","04/10/06 00:00:00","0",
874,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","04/10/06 00:00:00","5.4",
875,"R19","Val Vista WTP treated water","srp","val vista-treated","04/10/06 00:00:00","0",
876,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","04/10/06 00:00:00","5.2",
877,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","04/10/06 00:00:00","4.2",
878,"R25","verde river at beeline highway","verde","verde @ beeline","04/10/06 00:00:00","10.6",
879,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","04/10/06 00:00:00","5.3",
880,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","04/10/06 00:00:00","5.4",
881,"UH In","Union Hills Inlet","cap","Union Hills Inlet","04/10/06 00:00:00","2.3",
882,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","04/10/06 00:00:00","0.0",
883,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","04/10/06 00:00:00",,
884,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","04/10/06 00:00:00",,
885,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","04/10/06 00:00:00","5.8",
886,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","04/10/06 00:00:00","5.2",
887,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","04/10/06 00:00:00","5.4",
888,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","04/10/06 00:00:00","3.6",
889,"Green In","Greenway WTP Inlet","srp","Green In","04/10/06 00:00:00","5.1",
890,"Green Out","Greenway WTP Outlet","srp","Green Out","04/10/06 00:00:00","3.2",
891,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","04/10/06 00:00:00","3.6",
892,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","04/10/06 00:00:00","3.8",
893,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","04/10/06 00:00:00","11.8",
894,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","04/10/06 00:00:00","9.8",
895,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","04/10/06 00:00:00","4.8",
896,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","04/10/06 00:00:00","4.8",
897,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","04/10/06 00:00:00","4.7",
898,"R20","Verde River at Tangle","verde","verde abv horseshoe","04/10/06 00:00:00","17.0",
899,"Havasu 1","Havasu lake Sample",,"Havasu 1","04/10/06 00:00:00","16.9",
900,"Havasu 2","Havasu lake Sample",,"Havasu 2","04/10/06 00:00:00",,
901,"R3","Waddell Canal","cap","waddell canal","05/15/06 00:00:00","3.0",
902,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","05/15/06 00:00:00","4.8",
903,"R11","CAP Canal at Cross-connect","cap","cap @ x con","05/15/06 00:00:00","4.7",
904,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","05/15/06 00:00:00","2.1",
905,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","05/15/06 00:00:00","3.8",
906,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","05/15/06 00:00:00","4.6",
907,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","05/15/06 00:00:00","0.0",
908,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","05/15/06 00:00:00","5.0",
909,"R17","Deer Valley WTP treated water","srp","deer valley-treated","05/15/06 00:00:00","0",
910,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","05/15/06 00:00:00","5.0",
911,"R19","Val Vista WTP treated water","srp","val vista-treated","05/15/06 00:00:00","0",
912,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","05/15/06 00:00:00","4.7",
913,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","05/15/06 00:00:00","4.6",
914,"R25","verde river at beeline highway","verde","verde @ beeline","05/15/06 00:00:00","9.1",
915,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","05/15/06 00:00:00","4.6",
916,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","05/15/06 00:00:00","4.7",
917,"UH In","Union Hills Inlet","cap","Union Hills Inlet","05/15/06 00:00:00","2.8",
918,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","05/15/06 00:00:00","0.0",
919,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","05/15/06 00:00:00","4.8",
920,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","05/15/06 00:00:00","2.2",
921,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","05/15/06 00:00:00","2.9",
922,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","05/15/06 00:00:00","4.7",
923,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","05/15/06 00:00:00","5.1",
924,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","05/15/06 00:00:00","3.5",
925,"Green In","Greenway WTP Inlet","srp","Green In","05/15/06 00:00:00","4.9",
926,"Green Out","Greenway WTP Outlet","srp","Green Out","05/15/06 00:00:00","4.0",
927,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","05/15/06 00:00:00","3.8",
928,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","05/15/06 00:00:00","4.2",
929,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","05/15/06 00:00:00","11.7",
930,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","05/15/06 00:00:00","9.2",
931,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","05/15/06 00:00:00","4.7",
932,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","05/15/06 00:00:00","4.7",
933,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","05/15/06 00:00:00","4.8",
934,"R20","Verde River at Tangle","verde","verde abv horseshoe","05/15/06 00:00:00","17.0",
935,"Havasu 1","Havasu lake Sample",,"Havasu 1","05/15/06 00:00:00","2.2",
936,"Havasu 2","Havasu lake Sample",,"Havasu 2","05/15/06 00:00:00",,
937,"R3","Waddell Canal","cap","waddell canal","06/13/06 00:00:00","2.2",
938,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","06/13/06 00:00:00","5.4",
939,"R11","CAP Canal at Cross-connect","cap","cap @ x con","06/13/06 00:00:00","2.2",
940,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","06/13/06 00:00:00","2.1",
941,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","06/13/06 00:00:00","4.0",
942,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","06/13/06 00:00:00","4.4",
943,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","06/13/06 00:00:00","0.0",
